NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY	CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY		23	0.66456723	1.9446067	0.001992032	0.00499823	0.129	389	"tags=35%, list=8%, signal=37%"
EXTRACELLULAR EXOSOME	EXTRACELLULAR EXOSOME		40	0.5839799	1.941284	0	0.005047833	0.135	288	"tags=25%, list=6%, signal=26%"
DEFENSE RESPONSE TO BACTERIUM	DEFENSE RESPONSE TO BACTERIUM		19	0.800042	1.9410875	0	0.00484592	0.135	224	"tags=58%, list=4%, signal=60%"
CHAPERONE BINDING	CHAPERONE BINDING		55	0.513509	1.9250873	0	0.006472168	0.177	198	"tags=15%, list=4%, signal=15%"
CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE	CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE		42	0.6146245	1.9247802	0	0.006255729	0.177	574	"tags=40%, list=11%, signal=45%"
BASEMENT MEMBRANE	BASEMENT MEMBRANE		40	0.69838727	1.9224977	0	0.006357465	0.186	619	"tags=63%, list=12%, signal=71%"
PHAGOCYTIC CUP	PHAGOCYTIC CUP		15	0.6711831	1.9130899	0.005649718	0.006981623	0.2	218	"tags=33%, list=4%, signal=35%"
RESPONSE TO CYTOKINE	RESPONSE TO CYTOKINE		20	0.6847854	1.887035	0.001934236	0.009777055	0.259	318	"tags=40%, list=6%, signal=43%"
IMMUNE RESPONSE	IMMUNE RESPONSE		22	0.8783347	1.8799314	0	0.010392201	0.274	367	"tags=73%, list=7%, signal=78%"
LYSOSOME	LYSOSOME		140	0.4599164	1.8623551	0	0.013074535	0.331	657	"tags=31%, list=13%, signal=34%"
AGING	AGING		81	0.43804362	1.8604141	0	0.012967633	0.339	575	"tags=26%, list=11%, signal=29%"
CELLULAR RESPONSE TO INTERLEUKIN-1	CELLULAR RESPONSE TO INTERLEUKIN-1		17	0.6083766	1.8591466	0.005988024	0.012812597	0.34	85	"tags=24%, list=2%, signal=24%"
COLLAGEN BINDING	COLLAGEN BINDING		22	0.6939661	1.852954	0.005940594	0.01355812	0.358	318	"tags=45%, list=6%, signal=48%"
CELLULAR IRON ION HOMEOSTASIS	CELLULAR IRON ION HOMEOSTASIS		19	0.64949065	1.8490641	0	0.013880906	0.369	376	"tags=32%, list=7%, signal=34%"
LYSOSOMAL MEMBRANE	LYSOSOMAL MEMBRANE		62	0.47458652	1.8471045	0	0.013944537	0.379	366	"tags=21%, list=7%, signal=22%"
SERINE-TYPE ENDOPEPTIDASE INHIBITOR ACTIVITY	SERINE-TYPE ENDOPEPTIDASE INHIBITOR ACTIVITY		24	0.8249483	1.8439795	0.001972387	0.014043314	0.388	213	"tags=63%, list=4%, signal=65%"
CELLULAR RESPONSE TO INTERFERON-BETA	CELLULAR RESPONSE TO INTERFERON-BETA		22	0.8936231	1.8317349	0	0.016195009	0.417	322	"tags=68%, list=6%, signal=72%"
PEPTIDE BINDING	PEPTIDE BINDING		34	0.53060985	1.8291488	0	0.016322909	0.422	502	"tags=29%, list=10%, signal=32%"
EXTERNAL SIDE OF PLASMA MEMBRANE	EXTERNAL SIDE OF PLASMA MEMBRANE		70	0.65035194	1.8251599	0	0.016916223	0.438	760	"tags=51%, list=15%, signal=60%"
FEMALE PREGNANCY	FEMALE PREGNANCY		20	0.6022686	1.8246838	0	0.016706843	0.442	441	"tags=30%, list=9%, signal=33%"
ANIMAL ORGAN REGENERATION	ANIMAL ORGAN REGENERATION		16	0.64284176	1.8173131	0.004016064	0.017925503	0.456	402	"tags=31%, list=8%, signal=34%"
POSITIVE REGULATION OF ANGIOGENESIS	POSITIVE REGULATION OF ANGIOGENESIS		38	0.5790871	1.8087589	0.001996008	0.019494768	0.483	623	"tags=39%, list=12%, signal=45%"
CELLULAR RESPONSE TO OXIDATIVE STRESS	CELLULAR RESPONSE TO OXIDATIVE STRESS		27	0.48912	1.8060783	0.001937985	0.01983038	0.495	330	"tags=15%, list=6%, signal=16%"
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM	DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM		18	0.8399398	1.7899795	0	0.02409531	0.567	409	"tags=67%, list=8%, signal=72%"
COLLAGEN TRIMER	COLLAGEN TRIMER		15	0.80605036	1.7836465	0	0.025390858	0.58	788	"tags=67%, list=16%, signal=79%"
ACTIN FILAMENT BUNDLE ASSEMBLY	ACTIN FILAMENT BUNDLE ASSEMBLY		24	0.58085513	1.7814119	0.003976143	0.02544885	0.586	222	"tags=21%, list=4%, signal=22%"
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT	EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT		35	0.72114116	1.7771404	0	0.026300725	0.597	774	"tags=74%, list=15%, signal=87%"
CELL CHEMOTAXIS	CELL CHEMOTAXIS		16	0.63809884	1.7747014	0.001956947	0.026638104	0.604	720	"tags=50%, list=14%, signal=58%"
POSITIVE REGULATION OF INFLAMMATORY RESPONSE	POSITIVE REGULATION OF INFLAMMATORY RESPONSE		18	0.61281055	1.7717315	0	0.02711115	0.619	267	"tags=28%, list=5%, signal=29%"
ACTIN FILAMENT	ACTIN FILAMENT		48	0.51272905	1.771281	0.001956947	0.026743395	0.623	505	"tags=25%, list=10%, signal=27%"
ENDOPEPTIDASE INHIBITOR ACTIVITY	ENDOPEPTIDASE INHIBITOR ACTIVITY		17	0.8299112	1.768357	0.005976096	0.027074128	0.631	624	"tags=76%, list=12%, signal=87%"
DOUBLE-STRANDED RNA BINDING	DOUBLE-STRANDED RNA BINDING		47	0.62032795	1.7668846	0.005791506	0.027132882	0.635	548	"tags=28%, list=11%, signal=31%"
STRESS FIBER	STRESS FIBER		38	0.55798554	1.7617494	0	0.0282334	0.65	589	"tags=37%, list=12%, signal=41%"
PROTEIN SELF-ASSOCIATION	PROTEIN SELF-ASSOCIATION		23	0.47936374	1.7590206	0	0.028899947	0.656	392	"tags=22%, list=8%, signal=23%"
RUFFLE	RUFFLE		59	0.5090679	1.7509503	0.008016032	0.031458005	0.686	496	"tags=31%, list=10%, signal=33%"
PROTEIN HOMOTETRAMERIZATION	PROTEIN HOMOTETRAMERIZATION		30	0.50434464	1.7415867	0.012396694	0.03458979	0.712	283	"tags=17%, list=6%, signal=18%"
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION		16	0.8354793	1.7370466	0.00610998	0.035801418	0.722	462	"tags=75%, list=9%, signal=82%"
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE	NEGATIVE REGULATION OF INFLAMMATORY RESPONSE		16	0.6117003	1.7365319	0	0.03538841	0.724	317	"tags=31%, list=6%, signal=33%"
PODOSOME	PODOSOME		19	0.57026285	1.7351509	0.007952286	0.03539445	0.728	480	"tags=26%, list=9%, signal=29%"
ACTIN CYTOSKELETON	ACTIN CYTOSKELETON		94	0.41871896	1.7325976	0	0.036037527	0.733	256	"tags=16%, list=5%, signal=16%"
ANTIGEN PROCESSING AND PRESENTATION	ANTIGEN PROCESSING AND PRESENTATION		15	0.5753349	1.7291687	0.005671077	0.036725957	0.738	206	"tags=27%, list=4%, signal=28%"
SERINE-TYPE ENDOPEPTIDASE ACTIVITY	SERINE-TYPE ENDOPEPTIDASE ACTIVITY		17	0.68810254	1.7280853	0.006072875	0.036588077	0.74	378	"tags=41%, list=7%, signal=44%"
BLOOD COAGULATION	BLOOD COAGULATION		18	0.8509212	1.7272329	0.003992016	0.036322504	0.743	593	"tags=78%, list=12%, signal=88%"
RESPONSE TO GLUCOCORTICOID	RESPONSE TO GLUCOCORTICOID		25	0.63174206	1.7271668	0.003937008	0.03580018	0.743	647	"tags=44%, list=13%, signal=50%"
ENZYME INHIBITOR ACTIVITY	ENZYME INHIBITOR ACTIVITY		16	0.7002154	1.7144277	0.005802708	0.04090467	0.779	268	"tags=31%, list=5%, signal=33%"
ENDOPLASMIC RETICULUM LUMEN	ENDOPLASMIC RETICULUM LUMEN		43	0.618946	1.7101622	0.01372549	0.042250782	0.784	857	"tags=60%, list=17%, signal=72%"
DEFENSE RESPONSE	DEFENSE RESPONSE		15	0.897104	1.708863	0	0.04220176	0.787	293	"tags=80%, list=6%, signal=85%"
NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION	NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION		15	0.66717184	1.7082533	0.015180266	0.041885108	0.789	560	"tags=40%, list=11%, signal=45%"
BRUSH BORDER	BRUSH BORDER		28	0.5971921	1.7043988	0.005802708	0.04308004	0.791	568	"tags=36%, list=11%, signal=40%"
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION	POSITIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION		20	0.69049966	1.7024128	0.015414258	0.043425612	0.794	688	"tags=55%, list=14%, signal=63%"
SIGNALING RECEPTOR BINDING	SIGNALING RECEPTOR BINDING		117	0.4163818	1.6997334	0.002012072	0.04421111	0.8	510	"tags=23%, list=10%, signal=25%"
EPITHELIAL CELL DIFFERENTIATION	EPITHELIAL CELL DIFFERENTIATION		20	0.6309391	1.6990876	0.021113243	0.043948535	0.801	556	"tags=50%, list=11%, signal=56%"
EXTRACELLULAR MATRIX ORGANIZATION	EXTRACELLULAR MATRIX ORGANIZATION		33	0.53184766	1.6971017	0.003952569	0.044194847	0.805	774	"tags=42%, list=15%, signal=50%"
CELL-MATRIX ADHESION	CELL-MATRIX ADHESION		30	0.6544964	1.69175	0.01183432	0.046391893	0.811	878	"tags=67%, list=17%, signal=80%"
POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY		33	0.45499367	1.6843531	0	0.049498808	0.821	304	"tags=21%, list=6%, signal=22%"
CHOLESTEROL HOMEOSTASIS	CHOLESTEROL HOMEOSTASIS		21	0.53678554	1.6767695	0	0.053057056	0.837	574	"tags=38%, list=11%, signal=43%"
ENDOPEPTIDASE ACTIVITY	ENDOPEPTIDASE ACTIVITY		40	0.54113716	1.6588326	0.03632887	0.06291978	0.875	656	"tags=28%, list=13%, signal=31%"
NEGATIVE REGULATION OF PEPTIDASE ACTIVITY	NEGATIVE REGULATION OF PEPTIDASE ACTIVITY		27	0.74187946	1.65769	0.038986355	0.063010305	0.878	624	"tags=74%, list=12%, signal=84%"
ACTIN CYTOSKELETON REORGANIZATION	ACTIN CYTOSKELETON REORGANIZATION		32	0.4860054	1.6562434	0.018072288	0.063137755	0.88	222	"tags=19%, list=4%, signal=19%"
PROTEASE BINDING	PROTEASE BINDING		46	0.53110385	1.6549121	0.023762377	0.06313474	0.882	745	"tags=41%, list=15%, signal=48%"
REGULATION OF APOPTOTIC PROCESS	REGULATION OF APOPTOTIC PROCESS		67	0.40701538	1.6545063	0	0.06256674	0.882	728	"tags=25%, list=14%, signal=29%"
POSITIVE REGULATION OF PROTEIN SECRETION	POSITIVE REGULATION OF PROTEIN SECRETION		17	0.5394972	1.6541257	0.011560693	0.062084407	0.884	401	"tags=29%, list=8%, signal=32%"
ACTIN FILAMENT BINDING	ACTIN FILAMENT BINDING		95	0.42622435	1.6536418	0.015384615	0.061655965	0.885	596	"tags=22%, list=12%, signal=25%"
POSITIVE REGULATION OF PHAGOCYTOSIS	POSITIVE REGULATION OF PHAGOCYTOSIS		25	0.50710106	1.6515281	0.024193548	0.06201385	0.886	502	"tags=36%, list=10%, signal=40%"
POSITIVE REGULATION OF CELL MIGRATION	POSITIVE REGULATION OF CELL MIGRATION		92	0.420022	1.6468103	0.003831418	0.06425822	0.893	748	"tags=29%, list=15%, signal=34%"
PEPTIDASE INHIBITOR ACTIVITY	PEPTIDASE INHIBITOR ACTIVITY		27	0.7420189	1.6464674	0.043137256	0.06377783	0.893	624	"tags=74%, list=12%, signal=84%"
POSITIVE REGULATION OF RECEPTOR-MEDIATED ENDOCYTOSIS	POSITIVE REGULATION OF RECEPTOR-MEDIATED ENDOCYTOSIS		17	0.5987348	1.6435993	0.021526419	0.06475989	0.901	432	"tags=35%, list=9%, signal=38%"
LAMININ BINDING	LAMININ BINDING		15	0.64284045	1.6412637	0.021153847	0.0654042	0.903	545	"tags=53%, list=11%, signal=60%"
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX		50	0.55995107	1.6411715	0.013779528	0.064762816	0.903	818	"tags=52%, list=16%, signal=61%"
PROTEASOME COMPLEX	PROTEASOME COMPLEX		53	0.4936266	1.6393007	0.021153847	0.065268	0.905	81	"tags=9%, list=2%, signal=9%"
POSITIVE REGULATION OF APOPTOTIC PROCESS	POSITIVE REGULATION OF APOPTOTIC PROCESS		115	0.35307747	1.6379313	0	0.065445326	0.907	794	"tags=28%, list=16%, signal=32%"
NEGATIVE REGULATION OF CATALYTIC ACTIVITY	NEGATIVE REGULATION OF CATALYTIC ACTIVITY		31	0.57542545	1.6275611	0.005988024	0.07116129	0.927	608	"tags=35%, list=12%, signal=40%"
CYTOKINE-MEDIATED SIGNALING PATHWAY	CYTOKINE-MEDIATED SIGNALING PATHWAY		16	0.55829793	1.6250318	0.006024096	0.07219331	0.93	484	"tags=38%, list=10%, signal=41%"
PROTEASOME CORE COMPLEX	PROTEASOME CORE COMPLEX		17	0.6692468	1.6244857	0.021442495	0.071840085	0.93	81	"tags=18%, list=2%, signal=18%"
THREONINE-TYPE ENDOPEPTIDASE ACTIVITY	THREONINE-TYPE ENDOPEPTIDASE ACTIVITY		17	0.6692468	1.6244857	0.021442495	0.07109947	0.93	81	"tags=18%, list=2%, signal=18%"
CARBOHYDRATE BINDING	CARBOHYDRATE BINDING		53	0.4243282	1.6213772	0.009652509	0.07253473	0.935	598	"tags=26%, list=12%, signal=30%"
SARCOLEMMA	SARCOLEMMA		53	0.45086306	1.6190922	0.018691588	0.07325845	0.941	650	"tags=34%, list=13%, signal=39%"
MELANOSOME	MELANOSOME		60	0.4374801	1.612429	0.037254903	0.07675897	0.944	753	"tags=30%, list=15%, signal=35%"
REGULATION OF INFLAMMATORY RESPONSE	REGULATION OF INFLAMMATORY RESPONSE		19	0.56061685	1.6117908	0.001996008	0.07641873	0.945	511	"tags=42%, list=10%, signal=47%"
RESPONSE TO AXON INJURY	RESPONSE TO AXON INJURY		21	0.5178378	1.6066693	0.026209677	0.079120986	0.948	576	"tags=24%, list=11%, signal=27%"
RESPONSE TO PEPTIDE HORMONE	RESPONSE TO PEPTIDE HORMONE		30	0.5027389	1.5911983	0.008032128	0.09013042	0.959	569	"tags=40%, list=11%, signal=45%"
POSITIVE REGULATION OF GENE EXPRESSION	POSITIVE REGULATION OF GENE EXPRESSION		131	0.36928296	1.5898468	0	0.09026799	0.96	437	"tags=18%, list=9%, signal=19%"
MICROVILLUS	MICROVILLUS		28	0.52753425	1.5866848	0.04990403	0.09165899	0.965	851	"tags=46%, list=17%, signal=55%"
RESPONSE TO WOUNDING	RESPONSE TO WOUNDING		21	0.47882095	1.5859139	0	0.09148545	0.966	215	"tags=19%, list=4%, signal=20%"
DOUBLE-STRAND BREAK REPAIR	DOUBLE-STRAND BREAK REPAIR		19	0.6277024	1.5835649	0.03696498	0.09224185	0.966	301	"tags=21%, list=6%, signal=22%"
CYSTEINE-TYPE PEPTIDASE ACTIVITY	CYSTEINE-TYPE PEPTIDASE ACTIVITY		40	0.444671	1.579869	0.01372549	0.09415532	0.967	404	"tags=20%, list=8%, signal=22%"
RESPONSE TO ORGANIC SUBSTANCE	RESPONSE TO ORGANIC SUBSTANCE		40	0.43555933	1.5796646	0.02811245	0.093437076	0.967	673	"tags=33%, list=13%, signal=37%"
POSITIVE REGULATION OF FIBROBLAST PROLIFERATION	POSITIVE REGULATION OF FIBROBLAST PROLIFERATION		19	0.56118387	1.5764079	0.031620555	0.095103554	0.967	689	"tags=53%, list=14%, signal=61%"
POSITIVE REGULATION OF COLD-INDUCED THERMOGENESIS	POSITIVE REGULATION OF COLD-INDUCED THERMOGENESIS		18	0.48884693	1.5723726	0.025390625	0.09735683	0.97	364	"tags=28%, list=7%, signal=30%"
RUFFLE MEMBRANE	RUFFLE MEMBRANE		46	0.43571553	1.568461	0.020992367	0.09921682	0.972	323	"tags=15%, list=6%, signal=16%"
NEGATIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY	NEGATIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY		21	0.46706745	1.5641137	0.014028057	0.101717874	0.973	375	"tags=24%, list=7%, signal=26%"
ANGIOGENESIS	ANGIOGENESIS		60	0.39949912	1.560535	0.01622718	0.10383381	0.974	519	"tags=23%, list=10%, signal=26%"
POSITIVE REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING	POSITIVE REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING		20	0.50017107	1.5557324	0.015841585	0.10699676	0.977	606	"tags=35%, list=12%, signal=40%"
SERINE-TYPE PEPTIDASE ACTIVITY	SERINE-TYPE PEPTIDASE ACTIVITY		22	0.51773477	1.5443212	0.021956088	0.11598733	0.979	378	"tags=27%, list=7%, signal=29%"
RESPONSE TO HYPOXIA	RESPONSE TO HYPOXIA		55	0.40211156	1.5405971	0.006036217	0.11833931	0.979	769	"tags=33%, list=15%, signal=38%"
LATE ENDOSOME	LATE ENDOSOME		76	0.38078794	1.5357432	0.029296875	0.121519916	0.98	364	"tags=16%, list=7%, signal=17%"
IMMUNOLOGICAL SYNAPSE	IMMUNOLOGICAL SYNAPSE		18	0.50423217	1.532245	0.046692606	0.12374534	0.98	321	"tags=22%, list=6%, signal=24%"
CHOLESTEROL BINDING	CHOLESTEROL BINDING		16	0.54267883	1.5273432	0.056338027	0.12732576	0.98	402	"tags=44%, list=8%, signal=47%"
CELL REDOX HOMEOSTASIS	CELL REDOX HOMEOSTASIS		41	0.4437156	1.5257493	0.036144577	0.12772276	0.98	915	"tags=37%, list=18%, signal=44%"
CELLULAR RESPONSE TO HYDROGEN PEROXIDE	CELLULAR RESPONSE TO HYDROGEN PEROXIDE		28	0.4544854	1.5255865	0.017681729	0.12681368	0.98	630	"tags=32%, list=12%, signal=36%"
SINGLE-STRANDED RNA BINDING	SINGLE-STRANDED RNA BINDING		26	0.5797557	1.5203787	0.056640625	0.13075632	0.983	557	"tags=23%, list=11%, signal=26%"
CELLULAR RESPONSE TO TUMOR NECROSIS FACTOR	CELLULAR RESPONSE TO TUMOR NECROSIS FACTOR		31	0.40825304	1.5193067	0.00209205	0.13066335	0.983	269	"tags=16%, list=5%, signal=17%"
DOUBLE-STRANDED DNA BINDING	DOUBLE-STRANDED DNA BINDING		39	0.48831117	1.5088313	0.064327486	0.13931045	0.985	409	"tags=18%, list=8%, signal=19%"
RESPONSE TO NUTRIENT	RESPONSE TO NUTRIENT		40	0.39564347	1.5077431	0.026871402	0.13921553	0.985	647	"tags=25%, list=13%, signal=28%"
PROTEIN REFOLDING	PROTEIN REFOLDING		20	0.46643674	1.5070875	0.038	0.13870321	0.985	12	"tags=5%, list=0%, signal=5%"
POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE	POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE		52	0.42328885	1.505709	0.036437247	0.1390204	0.986	397	"tags=21%, list=8%, signal=23%"
ENZYME BINDING	ENZYME BINDING		203	0.31064096	1.5034542	0.001964637	0.14006956	0.987	353	"tags=11%, list=7%, signal=12%"
AUTOPHAGOSOME ASSEMBLY	AUTOPHAGOSOME ASSEMBLY		30	0.42026895	1.5011226	0.044315994	0.1414051	0.987	212	"tags=13%, list=4%, signal=14%"
NEGATIVE REGULATION OF NEURON DEATH	NEGATIVE REGULATION OF NEURON DEATH		30	0.40406436	1.499422	0.025096525	0.14182007	0.987	146	"tags=17%, list=3%, signal=17%"
PROTEIN-CONTAINING COMPLEX ASSEMBLY	PROTEIN-CONTAINING COMPLEX ASSEMBLY		40	0.40182683	1.4976286	0.031620555	0.14266944	0.987	758	"tags=35%, list=15%, signal=41%"
GROWTH FACTOR ACTIVITY	GROWTH FACTOR ACTIVITY		16	0.5846008	1.49522	0.068686865	0.14374158	0.987	669	"tags=31%, list=13%, signal=36%"
APICAL PART OF CELL	APICAL PART OF CELL		40	0.42485586	1.487083	0.04085603	0.15052341	0.99	554	"tags=30%, list=11%, signal=33%"
CELL ADHESION MOLECULE BINDING	CELL ADHESION MOLECULE BINDING		39	0.47729152	1.4807413	0.06584362	0.15637086	0.991	288	"tags=26%, list=6%, signal=27%"
LIPID TRANSPORT	LIPID TRANSPORT		38	0.39675862	1.4792035	0.01984127	0.1566942	0.992	402	"tags=29%, list=8%, signal=31%"
REGULATION OF AUTOPHAGY	REGULATION OF AUTOPHAGY		23	0.4686626	1.4765829	0.05102041	0.15803553	0.992	398	"tags=17%, list=8%, signal=19%"
POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING	POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING		29	0.44107604	1.4734304	0.04771372	0.16003263	0.992	333	"tags=21%, list=7%, signal=22%"
POSITIVE REGULATION OF PROTEIN BINDING	POSITIVE REGULATION OF PROTEIN BINDING		42	0.36062288	1.4687173	0.018442623	0.16382039	0.992	187	"tags=10%, list=4%, signal=10%"
CELLULAR OXIDANT DETOXIFICATION	CELLULAR OXIDANT DETOXIFICATION		27	0.4283551	1.4663125	0.05108055	0.16544005	0.994	852	"tags=41%, list=17%, signal=49%"
ACTIN BINDING	ACTIN BINDING		166	0.33673695	1.4658524	0.029126214	0.16477607	0.994	596	"tags=22%, list=12%, signal=24%"
OSSIFICATION	OSSIFICATION		21	0.4605286	1.464988	0.0498008	0.16459537	0.994	318	"tags=29%, list=6%, signal=30%"
NEGATIVE REGULATION OF GENE EXPRESSION	NEGATIVE REGULATION OF GENE EXPRESSION		83	0.3665885	1.4614695	0.03359684	0.16698183	0.994	944	"tags=33%, list=19%, signal=39%"
SUBSTRATE ADHESION-DEPENDENT CELL SPREADING	SUBSTRATE ADHESION-DEPENDENT CELL SPREADING		22	0.46747684	1.4528189	0.07003891	0.1754676	0.996	619	"tags=32%, list=12%, signal=36%"
CELL SURFACE RECEPTOR SIGNALING PATHWAY	CELL SURFACE RECEPTOR SIGNALING PATHWAY		30	0.36457622	1.451576	0.023952097	0.17560032	0.996	637	"tags=30%, list=13%, signal=34%"
NEGATIVE REGULATION OF MAP KINASE ACTIVITY	NEGATIVE REGULATION OF MAP KINASE ACTIVITY		20	0.464358	1.4490603	0.05952381	0.17711872	0.996	435	"tags=25%, list=9%, signal=27%"
ENDOPLASMIC RETICULUM-GOLGI INTERMEDIATE COMPARTMENT	ENDOPLASMIC RETICULUM-GOLGI INTERMEDIATE COMPARTMENT		35	0.49470752	1.4451966	0.09561753	0.18016708	0.996	649	"tags=34%, list=13%, signal=39%"
