NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
INTEGRAL COMPONENT OF POSTSYNAPTIC MEMBRANE	INTEGRAL COMPONENT OF POSTSYNAPTIC MEMBRANE	Details ...	38	-0.6144813	-1.7303083	0.01010101	0.31646544	0.72	1069	"tags=55%, list=21%, signal=69%"
POSITIVE REGULATION OF AXONOGENESIS	POSITIVE REGULATION OF AXONOGENESIS	Details ...	28	-0.6091807	-1.7301869	0.007692308	0.29033086	0.721	956	"tags=57%, list=19%, signal=70%"
TERMINAL BOUTON	TERMINAL BOUTON	Details ...	36	-0.58101773	-1.7087326	0.007692308	0.34223717	0.783	951	"tags=50%, list=19%, signal=61%"
NEUROTRANSMITTER TRANSPORT	NEUROTRANSMITTER TRANSPORT	Details ...	16	-0.70213896	-1.7053353	0	0.3307702	0.79	584	"tags=56%, list=11%, signal=63%"
LEARNING	LEARNING	Details ...	36	-0.5710544	-1.6992979	0.004040404	0.3308733	0.808	1643	"tags=67%, list=32%, signal=98%"
TRANSMEMBRANE SIGNALING RECEPTOR ACTIVITY	TRANSMEMBRANE SIGNALING RECEPTOR ACTIVITY	Details ...	22	-0.5815967	-1.6979151	0.006060606	0.31520036	0.813	1099	"tags=64%, list=22%, signal=81%"
POSTSYNAPTIC DENSITY	POSTSYNAPTIC DENSITY	Details ...	208	-0.42039612	-1.6905419	0	0.32108727	0.829	1408	"tags=44%, list=28%, signal=59%"
NERVOUS SYSTEM DEVELOPMENT	NERVOUS SYSTEM DEVELOPMENT	Details ...	172	-0.4832634	-1.6893183	0.003883495	0.30669534	0.832	1534	"tags=51%, list=30%, signal=70%"
COCHLEA DEVELOPMENT	COCHLEA DEVELOPMENT	Details ...	15	-0.6763385	-1.6860772	0.013861386	0.2992369	0.836	812	"tags=47%, list=16%, signal=55%"
MULTICELLULAR ORGANISM GROWTH	MULTICELLULAR ORGANISM GROWTH	Details ...	30	-0.5080536	-1.6836692	0.013384321	0.2918288	0.838	1289	"tags=50%, list=25%, signal=67%"
AXONOGENESIS	AXONOGENESIS		58	-0.5351268	-1.6741853	0.015717093	0.30695865	0.861	1653	"tags=69%, list=33%, signal=101%"
"REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC"	"REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC"		16	-0.6470028	-1.6697968	0.022044089	0.3063284	0.87	552	"tags=44%, list=11%, signal=49%"
ANCHORED COMPONENT OF SYNAPTIC VESICLE MEMBRANE	ANCHORED COMPONENT OF SYNAPTIC VESICLE MEMBRANE		16	-0.64310306	-1.668155	0.029940119	0.29708594	0.872	1044	"tags=63%, list=21%, signal=78%"
REGULATION OF SYNAPTIC PLASTICITY	REGULATION OF SYNAPTIC PLASTICITY		22	-0.56440794	-1.6633445	0.009727626	0.2979971	0.881	1243	"tags=64%, list=24%, signal=84%"
SYNAPTIC VESICLE EXOCYTOSIS	SYNAPTIC VESICLE EXOCYTOSIS		16	-0.6877218	-1.6620259	0.026052104	0.28980163	0.881	719	"tags=56%, list=14%, signal=65%"
IONOTROPIC GLUTAMATE RECEPTOR BINDING	IONOTROPIC GLUTAMATE RECEPTOR BINDING		20	-0.6411158	-1.6607747	0.013779528	0.2812623	0.881	1202	"tags=65%, list=24%, signal=85%"
GLUTAMATERGIC SYNAPSE	GLUTAMATERGIC SYNAPSE		307	-0.4340539	-1.6605248	0.010141988	0.2714475	0.881	1440	"tags=47%, list=28%, signal=62%"
REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL	REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL		16	-0.7031294	-1.6513953	0.008080808	0.28491846	0.885	1082	"tags=69%, list=21%, signal=87%"
PRESYNAPSE	PRESYNAPSE		99	-0.4568714	-1.6512195	0.016032064	0.27567714	0.885	1226	"tags=42%, list=24%, signal=55%"
PRESYNAPTIC MEMBRANE	PRESYNAPTIC MEMBRANE		45	-0.5665459	-1.6488298	0.024590164	0.2728038	0.892	1316	"tags=56%, list=26%, signal=74%"
POSTSYNAPTIC DENSITY MEMBRANE	POSTSYNAPTIC DENSITY MEMBRANE		24	-0.62744576	-1.6461191	0.009940358	0.27088743	0.899	929	"tags=50%, list=18%, signal=61%"
CHEMICAL SYNAPTIC TRANSMISSION	CHEMICAL SYNAPTIC TRANSMISSION		56	-0.50526357	-1.6401641	0.004040404	0.27904958	0.907	1082	"tags=48%, list=21%, signal=61%"
POSTSYNAPTIC MEMBRANE	POSTSYNAPTIC MEMBRANE		89	-0.48425236	-1.6386248	0.005964215	0.27500364	0.908	1377	"tags=56%, list=27%, signal=76%"
AXON GUIDANCE	AXON GUIDANCE		65	-0.52091956	-1.6346853	0.019723866	0.2770931	0.915	1021	"tags=46%, list=20%, signal=57%"
PDZ DOMAIN BINDING	PDZ DOMAIN BINDING		42	-0.5341322	-1.630886	0.01953125	0.27959135	0.918	929	"tags=48%, list=18%, signal=58%"
PRESYNAPTIC ACTIVE ZONE	PRESYNAPTIC ACTIVE ZONE		25	-0.62041485	-1.6236999	0.03168317	0.29136515	0.926	1558	"tags=68%, list=31%, signal=98%"
NEURON PROJECTION DEVELOPMENT	NEURON PROJECTION DEVELOPMENT		88	-0.43791878	-1.6161114	0.017681729	0.3045207	0.937	970	"tags=36%, list=19%, signal=44%"
NEGATIVE REGULATION OF NEURON DIFFERENTIATION	NEGATIVE REGULATION OF NEURON DIFFERENTIATION		21	-0.5194371	-1.6083453	0.026748972	0.31605744	0.943	443	"tags=33%, list=9%, signal=36%"
DENDRITE CYTOPLASM	DENDRITE CYTOPLASM		24	-0.56571954	-1.6054054	0.03076923	0.31673172	0.945	543	"tags=38%, list=11%, signal=42%"
ENDOMEMBRANE SYSTEM	ENDOMEMBRANE SYSTEM		91	-0.44146344	-1.6047438	0.012048192	0.3107241	0.945	1619	"tags=46%, list=32%, signal=67%"
NEUROMUSCULAR PROCESS CONTROLLING BALANCE	NEUROMUSCULAR PROCESS CONTROLLING BALANCE		29	-0.5128557	-1.6040254	0.023904383	0.30487922	0.945	1515	"tags=62%, list=30%, signal=88%"
SYNAPTIC VESICLE	SYNAPTIC VESICLE		101	-0.4869777	-1.5944036	0.032323234	0.3226792	0.947	1663	"tags=57%, list=33%, signal=84%"
BRAIN DEVELOPMENT	BRAIN DEVELOPMENT		104	-0.39211696	-1.5938116	0.001937985	0.31660756	0.947	1138	"tags=38%, list=22%, signal=49%"
AXON	AXON		246	-0.42542598	-1.5928565	0.03448276	0.3118135	0.948	1466	"tags=48%, list=29%, signal=64%"
MOTILE CILIUM	MOTILE CILIUM		16	-0.58000726	-1.5924319	0.011881189	0.30579686	0.949	674	"tags=44%, list=13%, signal=50%"
GABA-ERGIC SYNAPSE	GABA-ERGIC SYNAPSE		63	-0.5131683	-1.591939	0.043650795	0.30029368	0.949	812	"tags=40%, list=16%, signal=47%"
INTEGRAL COMPONENT OF PRESYNAPTIC MEMBRANE	INTEGRAL COMPONENT OF PRESYNAPTIC MEMBRANE		38	-0.6137881	-1.5916247	0.05811623	0.29463005	0.949	909	"tags=50%, list=18%, signal=60%"
WNT SIGNALING PATHWAY	WNT SIGNALING PATHWAY		63	-0.45947307	-1.5800242	0.005952381	0.31836653	0.954	1427	"tags=51%, list=28%, signal=70%"
DENDRITIC SPINE	DENDRITIC SPINE		119	-0.41986868	-1.5798553	0.041984733	0.31228983	0.954	1622	"tags=52%, list=32%, signal=75%"
MITOCHONDRION ORGANIZATION	MITOCHONDRION ORGANIZATION		30	-0.45839736	-1.5793966	0.016494846	0.30747667	0.955	945	"tags=37%, list=19%, signal=45%"
AXON CYTOPLASM	AXON CYTOPLASM		43	-0.47433338	-1.5767854	0.03353057	0.3076098	0.957	977	"tags=35%, list=19%, signal=43%"
KINESIN BINDING	KINESIN BINDING		26	-0.5532125	-1.572357	0.023483366	0.31290045	0.96	498	"tags=35%, list=10%, signal=38%"
INSULIN RECEPTOR SIGNALING PATHWAY	INSULIN RECEPTOR SIGNALING PATHWAY		21	-0.5595682	-1.5686811	0.02834008	0.3166161	0.963	1386	"tags=62%, list=27%, signal=85%"
POSITIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL	POSITIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL		19	-0.6265988	-1.5683134	0.03557312	0.31167966	0.963	1571	"tags=79%, list=31%, signal=114%"
RESPIRASOME	RESPIRASOME		41	-0.44520795	-1.5623362	0.022	0.320665	0.968	1423	"tags=39%, list=28%, signal=54%"
NADP BINDING	NADP BINDING		17	-0.5439321	-1.5617371	0.030828517	0.31632492	0.968	766	"tags=41%, list=15%, signal=48%"
SENSORY PERCEPTION OF PAIN	SENSORY PERCEPTION OF PAIN		20	-0.50003123	-1.5600933	0.032520324	0.31475306	0.968	1095	"tags=40%, list=22%, signal=51%"
TUBULIN BINDING	TUBULIN BINDING		39	-0.49908406	-1.557143	0.035714287	0.3165517	0.97	1529	"tags=54%, list=30%, signal=76%"
SYNTAXIN-1 BINDING	SYNTAXIN-1 BINDING		19	-0.56394815	-1.5569259	0.05070994	0.3119981	0.971	770	"tags=47%, list=15%, signal=56%"
GROWTH CONE	GROWTH CONE		106	-0.42291605	-1.5498794	0.030303031	0.3238057	0.973	1534	"tags=52%, list=30%, signal=73%"
LONG-TERM SYNAPTIC POTENTIATION	LONG-TERM SYNAPTIC POTENTIATION		27	-0.5354886	-1.5461773	0.04771372	0.32795942	0.976	966	"tags=56%, list=19%, signal=68%"
STEROL BIOSYNTHETIC PROCESS	STEROL BIOSYNTHETIC PROCESS		17	-0.639551	-1.5445982	0.023952097	0.32685423	0.977	1146	"tags=71%, list=23%, signal=91%"
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I		31	-0.4717475	-1.5444939	0.023622047	0.32189295	0.977	1423	"tags=45%, list=28%, signal=62%"
ION CHANNEL ACTIVITY	ION CHANNEL ACTIVITY		26	-0.57743037	-1.5444402	0.04897959	0.3169648	0.977	755	"tags=46%, list=15%, signal=54%"
CENTRAL NERVOUS SYSTEM DEVELOPMENT	CENTRAL NERVOUS SYSTEM DEVELOPMENT		22	-0.46666804	-1.5427461	0.03526971	0.31623074	0.98	1303	"tags=50%, list=26%, signal=67%"
HIPPOCAMPUS DEVELOPMENT	HIPPOCAMPUS DEVELOPMENT		42	-0.43286443	-1.5404	0.01984127	0.31649953	0.982	970	"tags=40%, list=19%, signal=50%"
CALCIUM ION TRANSMEMBRANE TRANSPORT	CALCIUM ION TRANSMEMBRANE TRANSPORT		33	-0.50480646	-1.5397133	0.047244094	0.3132209	0.982	966	"tags=48%, list=19%, signal=59%"
SOCIAL BEHAVIOR	SOCIAL BEHAVIOR		22	-0.53253317	-1.5387673	0.023346303	0.31090647	0.983	1643	"tags=68%, list=32%, signal=100%"
"POSTSYNAPTIC DENSITY, INTRACELLULAR COMPONENT"	"POSTSYNAPTIC DENSITY, INTRACELLULAR COMPONENT"		21	-0.60614395	-1.5381762	0.0513834	0.30757257	0.983	1138	"tags=57%, list=22%, signal=73%"
CLATHRIN BINDING	CLATHRIN BINDING		20	-0.53779674	-1.5360912	0.050880626	0.30807644	0.983	1392	"tags=60%, list=27%, signal=82%"
SYNAPSE ORGANIZATION	SYNAPSE ORGANIZATION		36	-0.52721316	-1.5348794	0.033542976	0.30655938	0.983	924	"tags=47%, list=18%, signal=57%"
POSTSYNAPSE	POSTSYNAPSE		111	-0.38080013	-1.5312682	0.031189084	0.31053898	0.986	1294	"tags=43%, list=25%, signal=57%"
REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION	REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION		15	-0.51264906	-1.5259407	0.035019454	0.3181511	0.986	816	"tags=47%, list=16%, signal=55%"
FATTY ACID BIOSYNTHETIC PROCESS	FATTY ACID BIOSYNTHETIC PROCESS		22	-0.5545731	-1.5227674	0.030991735	0.32138953	0.987	1292	"tags=59%, list=25%, signal=79%"
RAB GTPASE BINDING	RAB GTPASE BINDING		60	-0.4557017	-1.5127418	0.0527307	0.34128976	0.99	1648	"tags=55%, list=32%, signal=80%"
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY	POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY		18	-0.5134831	-1.512504	0.029411765	0.33738345	0.99	175	"tags=33%, list=3%, signal=34%"
ADULT WALKING BEHAVIOR	ADULT WALKING BEHAVIOR		17	-0.51350623	-1.5114838	0.038022812	0.33533272	0.99	1166	"tags=47%, list=23%, signal=61%"
SYNAPSE ASSEMBLY	SYNAPSE ASSEMBLY		34	-0.4690948	-1.5106142	0.043209877	0.33294538	0.99	1571	"tags=56%, list=31%, signal=80%"
MICROTUBULE-BASED MOVEMENT	MICROTUBULE-BASED MOVEMENT		22	-0.57614046	-1.5093217	0.05576923	0.33200917	0.99	1869	"tags=77%, list=37%, signal=122%"
NEGATIVE REGULATION OF NEURON APOPTOTIC PROCESS	NEGATIVE REGULATION OF NEURON APOPTOTIC PROCESS		75	-0.37463498	-1.5086988	0.01980198	0.32916048	0.99	1457	"tags=49%, list=29%, signal=68%"
ANTEROGRADE AXONAL TRANSPORT	ANTEROGRADE AXONAL TRANSPORT		22	-0.49112058	-1.5062338	0.054	0.3307769	0.99	675	"tags=27%, list=13%, signal=31%"
ADULT BEHAVIOR	ADULT BEHAVIOR		15	-0.6673906	-1.4955157	0.0627451	0.35157606	0.992	1202	"tags=80%, list=24%, signal=104%"
SNARE BINDING	SNARE BINDING		37	-0.49009773	-1.4933376	0.058704454	0.35258755	0.992	726	"tags=35%, list=14%, signal=41%"
ENDOPLASMIC RETICULUM ORGANIZATION	ENDOPLASMIC RETICULUM ORGANIZATION		18	-0.56535643	-1.4926857	0.044354837	0.35011965	0.992	656	"tags=33%, list=13%, signal=38%"
MODULATION OF CHEMICAL SYNAPTIC TRANSMISSION	MODULATION OF CHEMICAL SYNAPTIC TRANSMISSION		52	-0.45445752	-1.489658	0.04742268	0.35321835	0.992	1371	"tags=54%, list=27%, signal=73%"
HIPPOCAMPAL MOSSY FIBER TO CA3 SYNAPSE	HIPPOCAMPAL MOSSY FIBER TO CA3 SYNAPSE		27	-0.5675442	-1.487793	0.068627454	0.35339248	0.993	1457	"tags=63%, list=29%, signal=88%"
REGULATION OF DENDRITIC SPINE MORPHOGENESIS	REGULATION OF DENDRITIC SPINE MORPHOGENESIS		16	-0.60628986	-1.4866227	0.0945674	0.35216948	0.993	400	"tags=38%, list=8%, signal=41%"
TRANS-GOLGI NETWORK	TRANS-GOLGI NETWORK		88	-0.36990336	-1.4866159	0.013972056	0.34816757	0.993	690	"tags=26%, list=14%, signal=30%"
POSITIVE REGULATION OF DENDRITIC SPINE MORPHOGENESIS	POSITIVE REGULATION OF DENDRITIC SPINE MORPHOGENESIS		16	-0.50353116	-1.4840696	0.06666667	0.3501754	0.993	568	"tags=31%, list=11%, signal=35%"
CAVEOLA	CAVEOLA		32	-0.41986558	-1.4833184	0.05940594	0.34792167	0.993	536	"tags=31%, list=11%, signal=35%"
RECEPTOR COMPLEX	RECEPTOR COMPLEX		44	-0.41451627	-1.4801084	0.048387095	0.3519151	0.993	909	"tags=34%, list=18%, signal=41%"
RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING		33	-0.50205505	-1.4797783	0.06483301	0.34892642	0.993	580	"tags=30%, list=11%, signal=34%"
EXOCYTOSIS	EXOCYTOSIS		50	-0.45229635	-1.4778135	0.09038462	0.34972706	0.994	1288	"tags=52%, list=25%, signal=69%"
LOCOMOTORY BEHAVIOR	LOCOMOTORY BEHAVIOR		38	-0.4583812	-1.4771698	0.038854804	0.34747756	0.994	1662	"tags=58%, list=33%, signal=85%"
CELLULAR RESPONSE TO CALCIUM ION	CELLULAR RESPONSE TO CALCIUM ION		35	-0.46370557	-1.4759307	0.057768926	0.34659362	0.994	1061	"tags=49%, list=21%, signal=61%"
POSITIVE REGULATION OF INSULIN SECRETION	POSITIVE REGULATION OF INSULIN SECRETION		17	-0.46402174	-1.4716141	0.034764826	0.3523146	0.994	750	"tags=35%, list=15%, signal=41%"
REGULATION OF PROTEIN LOCALIZATION	REGULATION OF PROTEIN LOCALIZATION		28	-0.4735081	-1.4713982	0.027833002	0.3491153	0.994	1064	"tags=36%, list=21%, signal=45%"
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY	TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY		17	-0.5072783	-1.4688295	0.046692606	0.35160434	0.994	909	"tags=41%, list=18%, signal=50%"
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS	CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS		27	-0.43155092	-1.4663802	0.042307694	0.35323468	0.994	1094	"tags=52%, list=22%, signal=66%"
GTPASE ACTIVATOR ACTIVITY	GTPASE ACTIVATOR ACTIVITY		105	-0.40892768	-1.4642998	0.049603175	0.35412753	0.994	1448	"tags=42%, list=29%, signal=57%"
"SYNAPTIC TRANSMISSION, GLUTAMATERGIC"	"SYNAPTIC TRANSMISSION, GLUTAMATERGIC"		16	-0.6028861	-1.4592248	0.09815951	0.3624587	0.995	1723	"tags=75%, list=34%, signal=113%"
SKELETAL MUSCLE TISSUE DEVELOPMENT	SKELETAL MUSCLE TISSUE DEVELOPMENT		17	-0.4963729	-1.4548099	0.071283095	0.36912107	0.995	313	"tags=29%, list=6%, signal=31%"
POSITIVE REGULATION OF KINASE ACTIVITY	POSITIVE REGULATION OF KINASE ACTIVITY		16	-0.49346906	-1.452211	0.05	0.3712837	0.995	909	"tags=38%, list=18%, signal=46%"
GAMMA-TUBULIN BINDING	GAMMA-TUBULIN BINDING		15	-0.559511	-1.448446	0.08366534	0.3767666	0.996	580	"tags=40%, list=11%, signal=45%"
REGULATION OF EXOCYTOSIS	REGULATION OF EXOCYTOSIS		20	-0.53252935	-1.4430922	0.11515152	0.3853182	0.996	1480	"tags=65%, list=29%, signal=91%"
UBIQUITIN CONJUGATING ENZYME ACTIVITY	UBIQUITIN CONJUGATING ENZYME ACTIVITY		23	-0.48119882	-1.437927	0.05263158	0.39402547	0.998	1150	"tags=43%, list=23%, signal=56%"
CILIUM	CILIUM		66	-0.3726935	-1.4334116	0.04191617	0.40134054	0.998	881	"tags=27%, list=17%, signal=33%"
REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS	REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS		32	-0.5339201	-1.4317334	0.13001911	0.40179446	0.998	1637	"tags=66%, list=32%, signal=96%"
AXONAL GROWTH CONE	AXONAL GROWTH CONE		20	-0.51715684	-1.4278421	0.13861386	0.40751773	0.999	1258	"tags=60%, list=25%, signal=79%"
DENDRITIC SHAFT	DENDRITIC SHAFT		37	-0.4765048	-1.4256457	0.09108911	0.40884396	0.999	970	"tags=46%, list=19%, signal=56%"
CYTOPLASMIC DYNEIN COMPLEX	CYTOPLASMIC DYNEIN COMPLEX		17	-0.4889387	-1.4238247	0.084980235	0.40971547	0.999	1869	"tags=65%, list=37%, signal=102%"
REGULATION OF GTPASE ACTIVITY	REGULATION OF GTPASE ACTIVITY		51	-0.4015966	-1.4232483	0.063432835	0.40760937	0.999	715	"tags=33%, list=14%, signal=38%"
MICROTUBULE BINDING	MICROTUBULE BINDING		95	-0.40079042	-1.4228566	0.09477756	0.40500474	0.999	2172	"tags=67%, list=43%, signal=115%"
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY		26	-0.43426746	-1.421853	0.057086613	0.4041442	0.999	1423	"tags=50%, list=28%, signal=69%"
NEURON DIFFERENTIATION	NEURON DIFFERENTIATION		41	-0.41861248	-1.4199623	0.050209206	0.40504012	0.999	1214	"tags=41%, list=24%, signal=54%"
PHOSPHATASE ACTIVITY	PHOSPHATASE ACTIVITY		52	-0.39194718	-1.4191078	0.06126482	0.40361628	0.999	991	"tags=31%, list=20%, signal=38%"
FOREBRAIN DEVELOPMENT	FOREBRAIN DEVELOPMENT		29	-0.46317983	-1.4183275	0.06097561	0.40220088	0.999	1516	"tags=59%, list=30%, signal=83%"
SYNAPTIC MEMBRANE	SYNAPTIC MEMBRANE		35	-0.41868612	-1.4175922	0.06464647	0.4004831	0.999	685	"tags=31%, list=13%, signal=36%"
SEMAPHORIN-PLEXIN SIGNALING PATHWAY	SEMAPHORIN-PLEXIN SIGNALING PATHWAY		20	-0.48050505	-1.4175882	0.10465116	0.3971177	0.999	908	"tags=45%, list=18%, signal=55%"
CALCIUM ION TRANSPORT	CALCIUM ION TRANSPORT		37	-0.46505773	-1.4171877	0.106299214	0.39476958	0.999	966	"tags=41%, list=19%, signal=50%"
PEPTIDYL-SERINE PHOSPHORYLATION	PEPTIDYL-SERINE PHOSPHORYLATION		60	-0.47263983	-1.4161111	0.08928572	0.39400584	0.999	1282	"tags=52%, list=25%, signal=68%"
SYNAPTIC VESICLE ENDOCYTOSIS	SYNAPTIC VESICLE ENDOCYTOSIS		30	-0.44714448	-1.4150705	0.108	0.39327508	0.999	304	"tags=20%, list=6%, signal=21%"
PROTON TRANSMEMBRANE TRANSPORT	PROTON TRANSMEMBRANE TRANSPORT		32	-0.4330021	-1.4150158	0.08235294	0.3901592	0.999	2218	"tags=69%, list=44%, signal=121%"
DENDRITE MORPHOGENESIS	DENDRITE MORPHOGENESIS		22	-0.48000476	-1.4138103	0.07920792	0.38950557	0.999	1746	"tags=68%, list=34%, signal=103%"
SPINAL CORD DEVELOPMENT	SPINAL CORD DEVELOPMENT		17	-0.4909797	-1.4134415	0.108949415	0.38720724	0.999	1289	"tags=53%, list=25%, signal=71%"
VESICLE DOCKING INVOLVED IN EXOCYTOSIS	VESICLE DOCKING INVOLVED IN EXOCYTOSIS		24	-0.47549528	-1.4128036	0.11066398	0.385421	0.999	1573	"tags=54%, list=31%, signal=78%"
NEUROTRANSMITTER SECRETION	NEUROTRANSMITTER SECRETION		17	-0.58949065	-1.4124364	0.1307847	0.38323715	0.999	1693	"tags=71%, list=33%, signal=106%"
PROTEIN TETRAMERIZATION	PROTEIN TETRAMERIZATION		16	-0.47122404	-1.4117674	0.06653226	0.38168392	0.999	818	"tags=38%, list=16%, signal=45%"
MICROTUBULE CYTOSKELETON ORGANIZATION	MICROTUBULE CYTOSKELETON ORGANIZATION		62	-0.42478836	-1.4112436	0.123046875	0.37991095	0.999	2236	"tags=68%, list=44%, signal=120%"
CALMODULIN BINDING	CALMODULIN BINDING		78	-0.3735339	-1.4086252	0.09330629	0.38251373	0.999	1493	"tags=55%, list=29%, signal=77%"
INTEGRAL COMPONENT OF POSTSYNAPTIC SPECIALIZATION MEMBRANE	INTEGRAL COMPONENT OF POSTSYNAPTIC SPECIALIZATION MEMBRANE		16	-0.56868255	-1.4083375	0.10123967	0.3803072	0.999	1082	"tags=50%, list=21%, signal=63%"
NEURON APOPTOTIC PROCESS	NEURON APOPTOTIC PROCESS		17	-0.50656974	-1.4073914	0.089613035	0.37940264	0.999	920	"tags=35%, list=18%, signal=43%"
SARCOPLASMIC RETICULUM	SARCOPLASMIC RETICULUM		26	-0.42737117	-1.4039398	0.076481834	0.3841417	0.999	816	"tags=35%, list=16%, signal=41%"
REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION	REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION		18	-0.4974948	-1.3963383	0.12401575	0.39826992	0.999	1493	"tags=61%, list=29%, signal=86%"
PHOSPHOPROTEIN PHOSPHATASE ACTIVITY	PHOSPHOPROTEIN PHOSPHATASE ACTIVITY		59	-0.38128164	-1.3950483	0.07385229	0.3983058	0.999	991	"tags=32%, list=20%, signal=40%"
CALCIUM-ION REGULATED EXOCYTOSIS	CALCIUM-ION REGULATED EXOCYTOSIS		16	-0.56824595	-1.3935518	0.12941177	0.39878356	0.999	1392	"tags=69%, list=27%, signal=94%"
REGULATED EXOCYTOSIS	REGULATED EXOCYTOSIS		15	-0.5309763	-1.3906088	0.10569106	0.40267977	0.999	1062	"tags=73%, list=21%, signal=92%"
SH2 DOMAIN BINDING	SH2 DOMAIN BINDING		22	-0.39668787	-1.38945	0.055984557	0.40222785	0.999	817	"tags=27%, list=16%, signal=32%"
REGULATION OF NEURON PROJECTION DEVELOPMENT	REGULATION OF NEURON PROJECTION DEVELOPMENT		25	-0.47523853	-1.389256	0.13867188	0.3997522	0.999	2206	"tags=80%, list=43%, signal=141%"
MICROTUBULE MOTOR ACTIVITY	MICROTUBULE MOTOR ACTIVITY		20	-0.55391735	-1.3890355	0.105788425	0.39749965	0.999	1463	"tags=70%, list=29%, signal=98%"
PHOTORECEPTOR INNER SEGMENT	PHOTORECEPTOR INNER SEGMENT		15	-0.519995	-1.3871751	0.13025211	0.3988423	0.999	1567	"tags=60%, list=31%, signal=87%"
CALYX OF HELD	CALYX OF HELD		15	-0.5211942	-1.3827878	0.12382739	0.40596202	0.999	812	"tags=33%, list=16%, signal=40%"
LONG-TERM MEMORY	LONG-TERM MEMORY		15	-0.51436204	-1.3818882	0.1310212	0.40501106	0.999	1202	"tags=73%, list=24%, signal=96%"
