pho_protein	iFOT_C_2_1	iFOT_C_2_3	iFOT_C_3_1	iFOT_C_3_2	iFOT_C_4_4	iFOT_C_4_5	iFOT_C_4_8	iFOT_C_5_3	iFOT_Z_1_3	iFOT_Z_1_4	iFOT_Z_2_10	iFOT_Z_2_11	iFOT_Z_4_12	iFOT_Z_5_6	iFOT_Z_5_7	iFOT_Z_6_3
Dtx3l	0.01	0.01	0.01	0.01	132.391	0.01	0.01	56.517824	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Dtx3l	153.1758	140.0055	0.01	0.01	0.01	121.1927	126.515	183.314924	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rap1gap2	0.01	0.01	0.01	0.01	26.76294	0.01	27.14219	0.01	0.01	26.099956	17.442742	0.01	20.597809	0.01	0.01	0.01
Rap1gap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.089289	0.01	0.01	23.230774
Dcaf1	19.73824	24.14393	25.917483	15.034351	17.36263	18.36182	19.24315	17.91032	0.01	46.920858	18.800172	28.077916	17.084222	12.775125	15.912554	16.378723
Sp3	114.6612	0.01	104.726651	104.428738	90.58432	91.51453	114.0506	123.564966	182.024539	110.887035	71.590775	108.306554	107.09865	76.649315	85.509954	85.997639
Cdkl5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	25.610068	24.516094	0.01	20.531442	22.142976	24.881384	15.829518
Hmcn1	0.01	0.01	0.01	0.01	0.01	630.6773	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Hmcn1	0.01	0.01	0.01	0.01	0.01	630.6773	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ttbk2	11.30175	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	8.816209	0.01	0.01	0.01	8.402664	0.01
Ttbk2	0.01	0.01	17.34853	0.01	0.01	0.01	0.01	13.528866	24.407395	0.01	12.742699	0.01	14.822024	0.01	12.952192	0.01
Ttbk2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	400.46554	0.01	0.01	0.01	0.01	0.01
Ttbk2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ttbk2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.451147
Sufu	0.01	0.01	11.199946	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.134652	0.01	0.01	0.01	0.01	0.01
Crebbp	14.41255	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	23.037125	0.01	0.01	28.491572	0.01	32.598798	30.78618
Usp32	33.89003	0.01	38.134542	25.692286	42.49425	0.01	32.82791	38.023939	0.01	45.30009	29.380838	39.724377	34.768933	30.89204	34.075845	38.984217
Usp32	59.17718	44.1044	0.01	0.01	0.01	0.01	0.01	0.01	54.588683	47.23687	40.250405	0.01	51.629169	37.006777	0.01	0.01
Zc3h18	0.01	0.01	0.01	0.01	41.56479	0.01	0.01	23.05659	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Zc3h18	226.5626	0.01	0.01	0.01	224.8038	204.6072	0.01	0.01	0.01	179.705858	0.01	0.01	0.01	0.01	133.101372	137.588214
Zc3h18	161.3333	95.64218	82.482476	73.687255	133.1338	98.845	125.8529	127.881463	107.287937	143.398996	162.203124	0.01	38.46375	76.591954	73.733968	120.611572
Zc3h18	0.01	226.4197	0.01	207.658459	224.8038	204.6072	0.01	0.01	0.01	179.705858	153.644091	137.471059	130.352388	113.919955	133.101372	0.01
Zc3h18	9.5067	16.05668	11.256652	0.01	0.01	12.06131	0.01	11.880844	8.108738	15.87097	13.533127	13.351292	0.01	18.355683	16.361726	0.01
Zc3h18	28.10573	0.01	0.01	0.01	0.01	0.01	60.22443	0.01	25.303976	107.816615	0.01	31.83504	0.01	0.01	0.01	27.647103
Gsk3a	84.28271	100.3902	87.973987	0.01	0.01	94.86194	0.01	74.182983	60.811585	69.136214	73.285032	77.339127	0.01	0.01	75.043185	82.807845
Rmdn3	0.01	34.45692	37.134531	26.173797	27.44861	0.01	0.01	29.092352	0.01	0.01	0.01	0.01	36.009472	0.01	0.01	0.01
Osbp	0.01	0.01	0.01	0.01	22.49847	0.01	28.88784	0.01	0.01	0.01	0.01	0.01	0.01	0.01	26.85078	0.01
Osbp	0.01	0.01	0.01	0.01	22.49847	0.01	28.88784	0.01	0.01	0.01	0.01	0.01	0.01	0.01	26.85078	0.01
Osbp	116.315	0.01	0.01	94.386489	107.5165	0.01	113.9245	144.131189	82.165002	0.01	73.379532	0.01	0.01	0.01	98.100718	93.972123
Gtf3c3	210.6941	0.01	114.015684	64.409141	0.01	0.01	0.01	81.131286	47.163157	0.01	83.801572	0.01	0.01	68.595042	0.01	77.676148
Gtf3c3	210.6941	0.01	0.01	0.01	0.01	70.11506	65.53075	81.131286	47.163157	0.01	83.801572	0.01	0.01	68.595042	0.01	77.676148
Pdzd8	34.55156	0.01	33.038175	18.485809	32.29685	0.01	0.01	0.01	25.769508	34.156188	29.410538	0.01	29.521526	37.983357	40.270251	42.789948
Pdzd8	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.539942	0.01	0.01	9.967279	14.175056	0.01
Mcrip1	0.01	0.01	173.242273	172.858395	0.01	170.3634	0.01	0.01	0.01	187.274962	0.01	245.943399	181.020521	0.01	0.01	185.555237
Mcrip1	507.5083	0.01	0.01	0.01	0.01	0.01	419.8916	0.01	474.404644	0.01	405.561809	0.01	0.01	580.469781	445.774344	0.01
Arfgef3	0.01	0.01	17.583456	0.01	0.01	16.1983	0.01	0.01	21.998553	0.01	0.01	18.760748	22.054677	18.872653	0.01	16.261942
Arfgef3	0.01	28.40896	0.01	0.01	33.71676	0.01	0.01	0.01	34.899112	0.01	48.703462	0.01	56.436898	35.429335	0.01	43.899035
Agap2	29.50488	35.7297	39.423486	25.853107	33.47296	32.90399	0.01	28.296105	63.101888	29.393241	27.943757	0.01	29.154597	34.7453	30.902388	36.890164
Agap2	100.5216	88.49365	91.252152	0.01	0.01	73.90144	63.98898	89.118901	97.460035	0.01	92.482106	114.84819	94.993178	89.806611	103.769348	76.254754
Agap2	59.03107	68.25739	56.139245	61.852188	0.01	58.41385	79.40873	54.295666	87.251373	125.590556	54.68736	76.247704	76.780728	68.378503	87.508598	64.406472
Agap2	30.03654	51.27364	0.01	0.01	0.01	0.01	0.01	0.01	0.01	38.838407	0.01	0.01	77.514586	0.01	70.593241	0.01
Agap2	0.01	105.3557	107.05791	0.01	0.01	0.01	0.01	0.01	45.492126	237.781657	123.167723	89.669455	32.455045	114.235443	179.035378	38.736641
Agap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	28.120158	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Agap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	28.260967	0.01	14.117004	0.01	0.01	23.364776	16.306015	0.01
Agap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.438292	0.01
Agap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	44.850615	0.01	0.01	31.241531	0.01
Slc4a7	44.01788	25.06841	17.668066	20.619299	20.85763	0.01	0.01	0.01	20.353385	28.552152	16.035362	23.983004	23.849758	0.01	23.425229	0.01
5031439G07Rik	0.01	57.41612	0.01	0.01	41.07149	0.01	26.31719	37.24655	39.029274	31.182364	25.868124	0.01	30.492134	0.01	0.01	0.01
5031439G07Rik	0.01	30.77584	0.01	0.01	49.72424	33.11113	39.9135	0.01	57.953016	46.022501	57.375221	38.89821	0.01	0.01	0.01	0.01
5031439G07Rik	0.01	58.59309	103.412505	56.025533	0.01	67.83563	68.82552	0.01	131.189569	62.261922	115.904696	0.01	63.194138	120.55955	49.96124	0.01
5031439G07Rik	0.01	0.01	0.01	0.01	79.2089	0.01	0.01	0.01	38.830273	62.261922	0.01	0.01	0.01	0.01	0.01	53.354304
5031439G07Rik	0.01	16.30916	0.01	0.01	0.01	0.01	0.01	0.01	23.409518	24.328772	0.01	0.01	0.01	17.466579	0.01	18.223198
5031439G07Rik	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	26.509988
5031439G07Rik	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	70.265342	0.01	74.172695	0.01
Kmt2d	0.01	26.38133	0.01	35.788777	34.80335	25.23621	26.14483	34.899717	26.525279	34.755092	30.909044	0.01	27.854711	28.096384	0.01	35.326631
Kmt2d	43.00631	50.0164	44.070703	33.990251	28.72852	33.33632	0.01	40.892523	36.149871	39.583587	39.297976	31.456495	44.33015	36.259643	38.532057	46.36612
Kmt2d	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.380609	0.01	0.01	14.34725	0.01	9.335133	0.01
Ilrun	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.993505	0.01	0.01	0.01	18.189832
Gmps	33.90626	64.09335	78.849672	112.13671	0.01	78.72919	42.58295	73.176149	0.01	76.332728	0.01	64.003032	0.01	0.01	0.01	82.127178
Pdap1	0.01	116.1866	83.591399	346.097431	0.01	395.342	269.0467	392.183092	22.591963	121.961249	124.301728	155.154889	0.01	270.438	119.890819	25.217388
Pdap1	0.01	0.01	0.01	0.01	259.3538	0.01	0.01	0.01	138.747284	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Pdap1	70.37645	0.01	132.989795	291.33277	259.3538	446.7836	314.7111	417.537273	138.747284	121.961249	157.856107	155.154889	0.01	288.456684	199.439659	37.620213
Pdap1	30.6169	65.62379	0.01	0.01	36.24135	28.97034	33.0444	28.951961	0.01	45.311819	31.540171	47.115665	0.01	0.01	36.839825	0.01
Grin3a	40.77619	18.21121	19.075822	0.01	20.14339	26.69566	0.01	23.185456	0.01	32.238037	14.908107	27.157805	0.01	25.153021	18.349229	21.491068
Grin3a	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.525061	0.01	0.01	0.01
Dock1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.786363	0.01	0.01
Thoc2	0.01	0.01	0.01	0.01	0.01	0.01	72.79291	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Thoc2	73.46898	174.4728	104.735652	99.632667	129.5531	99.18706	146.0524	140.317585	120.513938	79.548045	89.863095	114.896544	0.01	82.564721	103.922554	138.489097
Atxn7l3b	0.01	83.93211	55.057325	60.790201	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	53.118908	48.851191	0.01
Med22	166.9238	230.343	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Agap1	62.98197	0.01	77.379808	93.724174	0.01	94.28424	0.01	0.01	0.01	58.404231	42.80934	0.01	93.053239	0.01	0.01	93.678502
Agap1	0.01	0.01	26.921095	0.01	22.36705	0.01	35.4406	28.74347	30.977291	0.01	0.01	31.886848	43.092163	34.191761	0.01	31.248634
Agap1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	87.286485	0.01	0.01	0.01	0.01	0.01	80.908407	99.646708	0.01
Fam117b	39.60127	58.51151	55.601886	64.698428	57.66465	43.78046	66.66159	68.843937	39.810908	0.01	47.758459	47.059022	27.145101	41.452294	31.553514	39.184413
Fam117b	40.87055	0.01	32.558422	0.01	0.01	10.33298	0.01	0.01	0.01	10.363532	11.680245	0.01	0.01	25.844227	7.26476	0.01
Fam117b	0.01	30.63082	0.01	0.01	22.38895	0.01	0.01	0.01	28.647474	30.034234	28.944786	38.418813	0.01	30.079658	24.297111	23.33888
Fam117b	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.758434	0.01	0.01	0.01	8.515681
Fam117b	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	52.247372	80.258727	0.01	0.01	65.817522	0.01	0.01	0.01
Baiap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	61.443088	75.781722	53.583174	0.01
Baiap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	60.673583	0.01	0.01	0.01	0.01	0.01	0.01
Baiap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	42.113425	0.01	0.01	45.931677	0.01	0.01	0.01	57.475011
Baiap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	59.170052	0.01	0.01	0.01	0.01	0.01
Baiap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	185.706714	0.01	0.01	0.01	0.01	0.01
Baiap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	185.706714	0.01	0.01	0.01	0.01	0.01
Mapt	0.01	0.01	58.362493	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Mapt	1387.582	0.01	0.01	0.01	38.08693	439.0303	0.01	0.01	214.61898	0.01	0.01	0.01	45.039759	445.949875	0.01	0.01
Mapt	16.77558	0.01	78.168296	112.079614	0.01	128.737	82.18537	85.521121	0.01	0.01	81.486313	0.01	80.871191	0.01	147.252054	0.01
Mapt	1052.05	0.01	305.547992	863.835208	608.8443	0.01	674.3615	138.337444	0.01	108.851588	256.770987	141.180519	931.808668	138.743148	424.22798	261.830011
Mapt	8450.896	9511.649	10248.54014	9707.285943	11503.03	0.01	0.01	0.01	0.01	0.01	1852.207121	0.01	10612.22993	10472.06033	0.01	10833.28678
Mapt	660.9987	650.3466	23.658232	374.084029	611.368	605.7451	396.4341	617.845785	20.128522	28.583892	488.695129	20.122956	366.354853	906.74204	559.829399	545.121061
Mapt	246.5098	0.01	201.271391	438.355188	152.1039	295.4233	208.0803	474.007951	0.01	439.346151	140.778541	241.246131	161.487126	467.05891	235.881844	86.077717
Mapt	360.6536	992.7018	279.472091	697.314478	919.3566	965.8363	725.2807	906.464379	481.315786	390.157321	910.848502	1130.452681	726.200701	1318.382562	411.658108	348.081232
Mapt	1990.159	20092.54	27358.54362	24461.86574	4477.505	22790.51	2683.426	20366.1131	25205.553	24205.26471	26620.75234	25491.65614	4079.359054	33194.38773	0.01	4199.249954
Mapt	277.2221	0.01	85.197178	449.431828	376.7458	88.79708	752.6372	380.12414	194.661441	211.148346	256.770987	378.813899	376.979846	220.060256	397.570101	989.436634
Mapt	1969.258	3012.844	2002.902821	1980.377686	2103.476	1816.038	1893.311	1962.434614	2772.359386	2976.445111	2584.179935	2703.830053	2356.323453	3366.905421	2557.916863	2058.751574
Mapt	0.01	1393.84	1578.055558	1377.443035	1866.254	2119.424	2238.238	383.623436	1949.344379	2369.46779	2380.464152	2624.045584	1783.78631	409.797784	0.01	3006.080262
Mapt	2935.371	2006.146	1969.419096	2641.740663	1994.341	1785.633	1788.951	1664.261056	3502.124263	3555.20216	3236.704943	3687.769435	2307.059223	294.723429	2706.944717	3068.07437
Mapt	4439.024	1414.427	2940.987183	4503.834295	4833.005	6025.431	4977.68	5595.416444	4811.936555	5920.185066	5119.962183	5388.249339	4270.098412	9064.552321	4849.951322	7287.143753
Mapt	0.01	0.01	0.01	0.01	0.01	439.0303	253.8813	350.851585	214.61898	236.691486	0.01	189.472573	0.01	445.949875	0.01	323.590556
Mapt	4214.592	231.081	457.286873	2453.894546	2605.347	5734.207	3169.497	3470.903653	3329.058346	3893.91441	2823.198354	3476.461476	2762.434285	6439.187796	3167.120444	4818.523709
Mapt	567.1979	439.8657	265.475534	669.632393	479.196	602.8947	814.2027	367.227034	1194.937903	0.01	0.01	2239.905812	637.786723	0.01	561.424137	1153.13044
Mapt	1009.152	1091.947	292.865581	827.769515	210.8142	0.01	203.1828	754.527874	656.659076	646.354603	788.808032	1435.429679	631.379821	717.377361	391.560239	814.465105
Mapt	660.9987	972.1794	0.01	906.133891	942.7169	1109.31	861.2859	899.539125	0.01	1232.515161	1016.283907	1046.938028	1006.981289	1472.111404	1705.881448	1682.582808
Mapt	10720.38	13605.64	12478.98828	12387.9471	9852.664	2429.746	1907.815	7572.728305	11490.31252	12323.77164	11108.51771	17429.62544	13025.02857	12739.27393	13812.93212	12510.2641
Mapt	1215.707	1879.775	1228.726695	1115.276848	1469.233	1416.401	1162.261	1218.048413	2549.722906	2461.925402	2050.117882	2848.616416	1865.340308	2118.001985	2425.880971	2002.62989
Mapt	1915.281	0.01	305.547992	1361.931932	271.7053	1403.859	1610.182	479.780742	948.019032	1780.29201	3283.010121	0.01	141.098627	2744.389654	2790.511737	1068.98128
Mapt	5139.917	0.01	24706.84862	0.01	3878.784	0.01	23421.78	4804.931731	3529.639517	0.01	21925.43429	3290.643101	21171.49444	6953.648822	32470.66227	26892.3632
Mapt	11992.7	0.01	8930.793544	10673.16137	10208.83	1674.655	2984.842	10975.63665	12255.42336	11791.1054	19220.69889	457.658915	14483.17321	16567.43758	14862.39462	18873.16846
Mapt	567.1979	503.0903	4343.163174	1074.928948	1063.166	890.3081	1088.693	367.227034	1762.484913	1627.115967	529.141284	2239.905812	7692.111823	1985.783709	561.424137	2740.486561
Mapt	1194.095	0.01	882.134137	3277.220082	1334.481	756.0982	949.4407	1361.791955	1349.253216	2739.436233	2463.28697	4514.419434	3282.835578	2607.29565	2341.826476	509.759729
Mapt	0.01	74.14091	528.601807	394.353139	0.01	655.5144	0.01	0.01	925.460835	453.007798	772.54047	0.01	779.038503	0.01	582.051263	0.01
Mapt	567.1979	503.0903	0.01	1074.928948	583.9984	287.423	274.4487	0.01	938.464127	1627.115967	529.141284	0.01	1843.005488	1985.783709	561.424137	702.822326
Mapt	276.9279	0.01	21.278367	0.01	0.01	37.53222	0.01	0.01	52.599395	280.933143	56.353942	65.718226	45.039759	0.01	60.149452	368.581329
Mapt	0.01	0.01	0.01	0.01	0.01	0.01	0.01	6236.080993	0.01	9892.274457	11108.51771	0.01	0.01	0.01	0.01	0.01
Mapt	423.8131	0.01	0.01	0.01	0.01	0.01	253.8813	350.851585	0.01	239.209921	0.01	0.01	45.039759	3147.497652	2534.378819	323.590556
Mapt	0.01	0.01	0.01	0.01	0.01	0.01	0.01	27.22641	43.803135	0.01	0.01	54.930399	0.01	42.014437	32.208819	44.083216
Mapt	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	86.022885	0.01	0.01	97.820595	637.786723	1001.10172	0.01	76.841997
Faim2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Faim2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Faim2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Faim2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rcsd1	0.01	37.50356	0.01	0.01	51.22318	43.1239	60.10567	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rcsd1	0.01	0.01	0.01	0.01	0.01	0.01	69.21753	54.415103	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rcsd1	57.57612	0.01	0.01	18.331649	0.01	42.60226	0.01	87.976915	0.01	0.01	0.01	0.01	0.01	34.510117	0.01	0.01
Tom1l2	57.28594	77.5967	79.093599	224.74922	163.7793	0.01	60.01214	170.88928	99.730223	65.782211	115.837195	85.994534	132.873032	80.793684	153.401194	81.573301
Tom1l2	138.2407	162.2371	182.603315	148.050147	142.5332	170.506	140.7976	143.376849	156.025139	244.481384	187.853222	160.218267	224.962683	224.190284	261.641378	206.602537
Hnrnpa1	0.01	0.01	747.704182	0.01	6732.114	548.8591	0.01	0.01	0.01	0.01	4748.238254	656.001034	777.443159	0.01	719.442409	18.600234
Hnrnpa1	2020.902	1330.266	1688.857884	1073.596706	806.4309	640.7205	1420.693	906.558671	1151.402018	1671.895811	620.988887	1360.618787	538.620125	498.306591	1372.588314	1544.714319
