protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
A2m	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.63	0.81	0.25	0.44	0.18	0.14	0.42	0.01
Aif1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	5.43	5.48	5.96	7.51	5.8	5.64	5.98	6.71
C1qb	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.07	3.01	1.8	5.03	3.4	2.31	2.85	3.29
C2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.19	1.2	0.95	1.55	2	1.48	2.16	1.53
C4b	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.57	2.19	3.08	4.2	3.8	2.67	4.8	1.56
Cmpk2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	7.91	7.88	11.72	15.69	5.15	11.63	7.76	7.09
Col4a1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.56	0.67	0.51	0.04	0.51	0.57	0.7	0.97
Csf1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.09	0.11	0.14	0.43	0.13	0.36	0.53	0.2
Ctss	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.31	1.52	3.25	6.04	2.89	4.64	4.51	2.94
Cxcl10	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	19.51	20.29	24.87	21.95	20.77	17.85	18.2	19.05
Dtx3l	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.05	1.03	1.11	0.48	0.88	0.8	0.65	0.83
Eif2ak2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	7.13	3.7	7.48	3.13	4	4.09	2.93	4.8
Erap1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.34	0.07	0.43	0.3	0.12	0.35	0.34	0.1
F2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.33	1.64	0.41	1.7	0.48	0.89	3.47	0.53
Gbp2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	9.68	4.21	7.53	4.63	6.14	6.4	5.54	6.14
Gbp5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.15	0.52	0.49	0.47	0.38	0.61	0.51	0.23
Gm10499	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.39	2.93	4.2	1.76	0.52	2.07	3.7	1.83
Gm12250	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.44	1.17	1.77	1.66	1.71	1.56	2.45	0.88
H2-K1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.81	3.7	3.87	20.98	18.32	5.98	2.84	16.48
H2-L	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	7.44	15.56	9.79	2.36	11.93	14.59	17.5	18.87
H2-Q4	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.42	0.91	1.64	2.01	3.37	1.37	2.39	1.35
Hcls1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.68	2.51	0.98	13.64	3.57	4.18	3.82	1.09
Icam1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.42	2.32	0.75	0.52	0.78	1.39	1.61	1.26
Ifi204	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.51	0.19	1.68	0.75	2.51	1.51	2.15	0.98
Ifih1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.56	2.22	3.18	1.65	1.59	2.12	2.03	2.61
Ifit2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	5.93	4.23	8.18	3.95	5.76	7.96	7.08	5.41
Ifit3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	32.64	24.34	27.19	17.87	19.76	32.46	20.88	26.4
Il18bp	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.01	1.47	0.84	2.52	1.1	1.03	1.33	0.74
Irgm2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.14	0.39	1.81	0.41	1.3	0.43	0.8	0.86
Itgb2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.54	0.17	1.04	0.44	0.56	0.4	0.19
Lgals9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	10.16	6.53	8.66	8.15	9.02	7.05	7.48	9.28
LOC100044068	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.44	0.89	1.8	2.32	1.75	0.14	1.94	1.62
Ly6e	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	4.06	3.04	3.13	4.13	1.92	4.16	3.22	3.37
Mpeg1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.04	0.23	0.49	0.27	0.07	0.49	0.4
Mvp	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.07	0.07	0.17	0.04	0.06	0.06	0.08
Oas1a	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.06	1.91	5.8	2.58	3.58	4.32	5.16	2.71
Oasl1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.12	0.59	3.83	1.83	0.35	0.55	0.16	2.33
Parp3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.09	0.34	0.12	0.27	0.13	0.15	0.21
Parp9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.68	0.43	0.95	0.3	0.91	0.37	0.44	0.75
Pdlim4	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.74	1.8	1.97	1.14	1.41	1.38	0.69	0.52
Phf11d	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.53	0.5	1.85	1.76	2.08	2.87	0.69	0.97
Plac8	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	16	22.34	35.18	47.08	35.82	24.96	35.82	22.84
Plod3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.1	0.1	0.07	0.22	0.07	0.09	0.09
Psmb8	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.74	0.7	3.77	0.86	2.1	1.95	3.15	3.46
Psmb9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	6.39	4.27	8.76	8.87	7.52	6.78	8.72	6.34
Rsad2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.57	0.62	0.32	0.53	0.64	0.88	0.54
Samd9l	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.3	0.28	0.46	0.25	0.31	0.34	0.38	0.2
Serpinb9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.92	0.27	0.7	1.09	0.86	0.74	0.85	0.8
Siglec1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.71	0.75	1.39	1.84	0.57	1.13	0.5	0.41
Slfn5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.03	0.15	0.14	0.08	0.02	0.09	0.13
Tap1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.44	0.31	0.25	0.15	0.44	0.69	0.69	0.31
Tapbp	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.71	1.49	4.71	0.76	1.87	1.94	2.85	3.69
Tor3a	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.19	0.71	2.22	1.79	2.12	1.1	1.29	1.44
Trex1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.32	0.69	0.84	0.86	0.18	0.35	1.01	0.96
Trim21	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.53	0.28	1.2	0.18	0.74	0.49	0.6	0.96
Zbp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	4.35	6.34	8.56	13.74	6.68	13.7	10.18	6.77
2310011J03Rik	0.01	0.01	0.01	0.01	0.01	3.5	0.01	0.01	0.01	2.14	0.42	6.33	2.07	2.51	6.11	1.26
Tdrd7	0.08	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.25	0.01	0.2	0.04	0.26	0.04	0.1	0.29
S100a6	0.01	7.55	0.01	0.01	0.01	0.01	0.01	0.01	14.8	0.01	11.17	40.47	3.38	9.69	29.73	15.52
P4ha1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.72	0.17	0.11	0.21	0.26	0.01	0.57	0.21
Lbr	0.01	0.01	0.01	0.01	0.24	0.01	0.34	0.01	0.47	0.21	0.4	0.01	0.35	0.01	0.47	0.31
Necap2	0.01	0.01	0.01	0.26	0.01	0.01	0.01	0.42	0.56	0.21	0.78	0.34	0.41	0.01	0.3	0.01
Ptprn	0.01	0.01	0.01	0.01	0.04	0.11	0.01	0.01	0.08	0.06	0.01	0.16	0.01	0.09	0.16	0.16
Dpy30	0.01	0.01	6.82	8.94	0.01	0.01	0.01	0.01	8.92	24.23	0.01	41.71	15.2	22.05	0.01	10.23
Pltp	0.01	0.01	0.01	0.21	0.01	0.01	0.01	0.01	0.1	0.2	0.28	0.92	0.59	0.36	0.57	0.74
Lima1	0.01	0.01	0.01	0.01	0.01	0.12	0.01	0.01	0.16	0.33	0.42	0.85	0.35	0.33	0.39	0.33
Oasl2	0.28	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.68	0.83	2.42	0.96	1.14	1.24	1.52	2.32
Irgm1	0.6	0.01	0.01	0.01	0.01	0.01	0.01	0.01	8.21	6.78	9.28	6.98	10.57	6.45	12.05	10.2
Lrg1	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	3.17	1.02	0.38	1.02	0.36	0.24	0.49	0.22
Lsp1	0.01	0.01	0.11	0.01	0.01	0.01	0.01	0.01	0.46	1.89	0.75	4.56	1.24	4.12	2.04	0.92
Bst2	9.88	0.01	0.01	0.01	0.01	0.01	0.01	0.01	152.3	228.87	163.42	253.46	201.86	208.88	206.78	166.76
Psmb10	0.25	0.01	0.01	0.01	0.01	0.01	0.01	0.01	4.86	3.59	8.91	2.36	6.74	4.61	4.76	5.1
Lgals3bp	0.54	0.01	0.01	0.01	0.01	0.01	0.01	0.01	10.87	12.2	13.24	20.58	9.97	22.66	14.74	11.9
Gbp7	0.45	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.05	12.98	20.47	12.73	10.04	10.58	12.86	11.81
Isg15	2.34	0.01	0.01	0.01	0.01	0.01	0.01	0.01	77.94	73.5	97.12	82.51	80.79	73.11	92.49	94.69
Ctsc	0.01	0.01	0.08	0.01	0.01	0.01	0.01	0.01	1.86	3.18	3.05	3.95	3.01	3.5	3.36	2.52
Ddx58	0.07	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.79	3.22	5.76	4.28	5.15	4.86	4.89	3.73
Gbp3	0.04	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.65	2.48	2.9	4.05	3.93	2.93	4.32	3.32
Trim25	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.39	0.09	0.17	0.86	0.77	0.07	0.39	1.64
H2-D1	0.54	0.01	0.01	0.01	0.01	0.01	0.01	0.01	50.22	61.31	74.31	36.61	58.96	70.53	74.37	65.01
Tgtp2	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.51	2.11	5.62	3.37	3.49	4.15	5.57	2.58
Iigp1	0.07	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.24	8.82	19.3	9.57	15.68	11.49	13.21	16.8
Ifit1	0.16	0.01	0.01	0.01	0.01	0.01	0.01	0.01	59.49	27.53	51.03	25.23	44.63	35.45	52.95	49.54
Ifi47	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	13.59	8.43	17.89	4.19	14.15	10.95	12.08	12.42
Rbp4	0.01	0.01	0.01	0.17	0.01	0.01	0.2	0.01	0.5	0.26	0.29	0.4	0.23	0.28	0.48	0.01
Igf2	0.07	0.01	0.71	0.01	0.01	0.01	0.01	0.01	1.26	0.01	2.52	0.77	1.36	0.87	0.74	1.28
Stard5	0.01	0.01	0.09	0.08	0.15	0.01	0.01	0.01	0.28	0.51	0.01	0.45	0.39	0.28	0.16	0.01
Cfp	0.01	0.01	0.06	0.01	0.01	0.01	0.01	0.02	0.12	0.01	0.12	0.17	0.01	0.15	0.15	0.13
Wdr81	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.01	0.03	0.02	0.02	0.04	0.04	0.04	0.04	0.03
1810009J06Rik	0.27	0.49	0.01	0.01	0.01	0.01	0.01	0.01	0.64	0.53	0.05	0.59	0.46	0.42	0.34	0.16
Col18a1	0.01	0.14	0.01	0.01	0.01	0.01	0.01	0.15	0.08	0.22	0.14	0.02	0.24	0.46	0.25	0.05
Ptpn6	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.77	0.23	0.31	0.81	0.86	0.47	0.97	0.68	0.58
Dnajc19	0.01	0.01	0.4	0.44	0.01	0.01	0.01	0.01	0.76	0.66	1.02	0.36	0.62	0.37	0.56	0.73
Gbp6	0.01	0.01	1.66	0.01	0.01	0.01	1.92	0.01	3.2	1.3	5.66	4.3	0.89	2.71	3.13	1.3
Fkbp10	0.01	0.01	0.05	0.01	0.17	0.01	0.01	0.01	0.08	0.31	0.25	0.3	0.04	0.04	0.38	0.05
Nid2	0.01	0.01	0.01	0.01	0.14	0.01	0.01	0.16	0.46	0.15	0.68	0.25	0.17	0.19	0.42	0.29
Bet1	0.01	0.01	0.01	0.01	0.01	0.9	0.01	1.08	0.82	2.59	1.29	2.67	2.41	3.28	3.46	1.99
Cfh	0.01	0.01	0.01	0.01	0.21	0.06	0.01	0.01	0.25	0.63	0.25	0.84	0.67	0.28	0.72	0.39
Capg	0.01	0.31	0.01	0.01	0.01	0.01	0.01	0.5	2.39	1.41	0.99	4.89	0.93	3.41	3.19	1.52
Cd180	0.01	0.01	0.06	0.01	0.01	0.01	0.01	0.04	0.29	0.31	0.41	1.2	0.22	0.58	0.31	0.25
