NAME	GS<br> follow link to MSigDB	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
LYSINE-ACETYLATED HISTONE BINDING	LYSINE-ACETYLATED HISTONE BINDING	17	-0.5042964	-1.4741354	0	1	1	2477	"tags=29%, list=11%, signal=33%"
INTEGRAL COMPONENT OF POSTSYNAPTIC SPECIALIZATION MEMBRANE	INTEGRAL COMPONENT OF POSTSYNAPTIC SPECIALIZATION MEMBRANE	36	-0.67378634	-1.4732146	0	1	1	3173	"tags=69%, list=15%, signal=81%"
MRNA SPLICE SITE SELECTION	MRNA SPLICE SITE SELECTION	19	-0.5111267	-1.4593326	0	1	1	4233	"tags=53%, list=19%, signal=65%"
NEGATIVE REGULATION OF WNT SIGNALING PATHWAY	NEGATIVE REGULATION OF WNT SIGNALING PATHWAY	45	-0.44417915	-1.4588019	0.18661258	1	1	2566	"tags=27%, list=12%, signal=30%"
REGULATION OF CYTOKINESIS	REGULATION OF CYTOKINESIS	39	-0.28578588	-1.457807	0	1	1	6108	"tags=44%, list=28%, signal=60%"
REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION	REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION	15	-0.73838925	-1.4562865	0	1	1	2432	"tags=67%, list=11%, signal=75%"
EXCITATORY POSTSYNAPTIC POTENTIAL	EXCITATORY POSTSYNAPTIC POTENTIAL	62	-0.48149925	-1.455517	0	1	1	3763	"tags=48%, list=17%, signal=58%"
ESTABLISHMENT OF PROTEIN LOCALIZATION	ESTABLISHMENT OF PROTEIN LOCALIZATION	39	-0.43288177	-1.455078	0	1	1	4739	"tags=44%, list=22%, signal=56%"
EXPLORATION BEHAVIOR	EXPLORATION BEHAVIOR	16	-0.71531385	-1.453811	0	1	1	1805	"tags=56%, list=8%, signal=61%"
REGULATION OF CALCIUM ION TRANSPORT	REGULATION OF CALCIUM ION TRANSPORT	39	-0.45412502	-1.4401132	0	1	1	1341	"tags=28%, list=6%, signal=30%"
STRIATUM DEVELOPMENT	STRIATUM DEVELOPMENT	16	-0.49920276	-1.4363592	0.072289154	1	1	2951	"tags=38%, list=14%, signal=43%"
TELENCEPHALON DEVELOPMENT	TELENCEPHALON DEVELOPMENT	29	-0.63025105	-1.4358733	0	1	1	3726	"tags=59%, list=17%, signal=71%"
SPINDLE ASSEMBLY	SPINDLE ASSEMBLY	34	-0.27746055	-1.4356159	0	1	1	3285	"tags=21%, list=15%, signal=24%"
"POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC"	"POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC"	15	-0.48403242	-1.4328773	0	1	1	3623	"tags=40%, list=17%, signal=48%"
ADULT BEHAVIOR	ADULT BEHAVIOR	36	-0.6259106	-1.4293783	0	1	1	2951	"tags=56%, list=14%, signal=64%"
SOCIAL BEHAVIOR	SOCIAL BEHAVIOR	50	-0.6139585	-1.4265343	0	1	1	2943	"tags=54%, list=13%, signal=62%"
REGULATION OF EXOCYTOSIS	REGULATION OF EXOCYTOSIS	28	-0.5574003	-1.4257965	0	1	1	2497	"tags=54%, list=11%, signal=60%"
POTASSIUM CHANNEL REGULATOR ACTIVITY	POTASSIUM CHANNEL REGULATOR ACTIVITY	34	-0.4266141	-1.4233689	0	1	1	3840	"tags=53%, list=18%, signal=64%"
PROTEIN LOCALIZATION	PROTEIN LOCALIZATION	84	-0.3183377	-1.4229765	0	1	1	3397	"tags=31%, list=16%, signal=37%"
OLFACTORY BULB DEVELOPMENT	OLFACTORY BULB DEVELOPMENT	22	-0.67963564	-1.4226469	0	1	1	3848	"tags=64%, list=18%, signal=77%"
SYNAPTIC VESICLE TRANSPORT	SYNAPTIC VESICLE TRANSPORT	17	-0.62260306	-1.4217689	0	1	1	4222	"tags=53%, list=19%, signal=66%"
MANNOSYLTRANSFERASE ACTIVITY	MANNOSYLTRANSFERASE ACTIVITY	18	-0.423494	-1.4215888	0.10358566	1	1	2818	"tags=33%, list=13%, signal=38%"
NEUROMUSCULAR SYNAPTIC TRANSMISSION	NEUROMUSCULAR SYNAPTIC TRANSMISSION	30	-0.63311976	-1.4201752	0	1	1	4209	"tags=70%, list=19%, signal=87%"
PROTEIN-CYSTEINE S-PALMITOYLTRANSFERASE ACTIVITY	PROTEIN-CYSTEINE S-PALMITOYLTRANSFERASE ACTIVITY	27	-0.3249624	-1.4189291	0	1	1	1689	"tags=19%, list=8%, signal=20%"
TELOMERASE HOLOENZYME COMPLEX	TELOMERASE HOLOENZYME COMPLEX	19	-0.37970883	-1.4171888	0	1	1	4756	"tags=32%, list=22%, signal=40%"
POSITIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE	POSITIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE	35	-0.2591836	-1.4156471	0	1	1	3628	"tags=23%, list=17%, signal=27%"
REGULATION OF MEMBRANE POTENTIAL	REGULATION OF MEMBRANE POTENTIAL	101	-0.524486	-1.4137745	0	1	1	2875	"tags=50%, list=13%, signal=57%"
SODIUM CHANNEL REGULATOR ACTIVITY	SODIUM CHANNEL REGULATOR ACTIVITY	25	-0.48996413	-1.4101994	0	1	1	2355	"tags=48%, list=11%, signal=54%"
NEGATIVE REGULATION OF NOTCH SIGNALING PATHWAY	NEGATIVE REGULATION OF NOTCH SIGNALING PATHWAY	37	-0.36542982	-1.4093447	0.20325203	1	1	3017	"tags=32%, list=14%, signal=38%"
RESPIRATORY GASEOUS EXCHANGE BY RESPIRATORY SYSTEM	RESPIRATORY GASEOUS EXCHANGE BY RESPIRATORY SYSTEM	22	-0.4802025	-1.4084351	0.18217821	1	1	4245	"tags=55%, list=19%, signal=68%"
SPINAL CORD MOTOR NEURON DIFFERENTIATION	SPINAL CORD MOTOR NEURON DIFFERENTIATION	23	-0.43219402	-1.4082552	0.09486166	1	1	4961	"tags=43%, list=23%, signal=56%"
MICROTUBULE CYTOSKELETON ORGANIZATION	MICROTUBULE CYTOSKELETON ORGANIZATION	119	-0.42143095	-1.4080207	0	1	1	3984	"tags=40%, list=18%, signal=49%"
DENSE CORE GRANULE	DENSE CORE GRANULE	17	-0.72517556	-1.4073693	0	1	1	5009	"tags=76%, list=23%, signal=99%"
POTASSIUM CHANNEL ACTIVITY	POTASSIUM CHANNEL ACTIVITY	83	-0.5169134	-1.4064722	0	1	1	4291	"tags=54%, list=20%, signal=67%"
ADULT WALKING BEHAVIOR	ADULT WALKING BEHAVIOR	38	-0.52030736	-1.405869	0	1	1	2379	"tags=39%, list=11%, signal=44%"
DESMOSOME	DESMOSOME	24	-0.36307418	-1.4046098	0	1	1	2657	"tags=33%, list=12%, signal=38%"
VESICLE DOCKING	VESICLE DOCKING	17	-0.49145505	-1.4033692	0	1	1	4105	"tags=41%, list=19%, signal=51%"
MICROTUBULE NUCLEATION	MICROTUBULE NUCLEATION	16	-0.41731054	-1.4011741	0	1	1	3757	"tags=31%, list=17%, signal=38%"
ACETYLCHOLINE BINDING	ACETYLCHOLINE BINDING	15	-0.59902257	-1.3977308	0.08782435	1	1	3763	"tags=67%, list=17%, signal=80%"
BRAIN DEVELOPMENT	BRAIN DEVELOPMENT	239	-0.4357218	-1.3971605	0	1	1	4620	"tags=46%, list=21%, signal=58%"
POTASSIUM ION TRANSMEMBRANE TRANSPORT	POTASSIUM ION TRANSMEMBRANE TRANSPORT	142	-0.45893702	-1.3966749	0	1	1	2376	"tags=39%, list=11%, signal=43%"
PROTEIN LOCALIZATION TO CILIUM	PROTEIN LOCALIZATION TO CILIUM	30	-0.5429501	-1.3953813	0	1	1	4617	"tags=53%, list=21%, signal=68%"
COCHLEA DEVELOPMENT	COCHLEA DEVELOPMENT	33	-0.5118142	-1.3944705	0	1	1	3939	"tags=55%, list=18%, signal=66%"
VISUAL LEARNING	VISUAL LEARNING	61	-0.5326987	-1.3897843	0	1	1	4467	"tags=48%, list=20%, signal=60%"
DENDRITE MEMBRANE	DENDRITE MEMBRANE	37	-0.657038	-1.3861036	0	1	1	3159	"tags=70%, list=14%, signal=82%"
PROTEIN KINASE A REGULATORY SUBUNIT BINDING	PROTEIN KINASE A REGULATORY SUBUNIT BINDING	21	-0.5332681	-1.3858566	0	1	1	2351	"tags=43%, list=11%, signal=48%"
LOCOMOTORY BEHAVIOR	LOCOMOTORY BEHAVIOR	98	-0.5474458	-1.3857428	0	1	1	4434	"tags=53%, list=20%, signal=66%"
NEUROMUSCULAR JUNCTION	NEUROMUSCULAR JUNCTION	90	-0.50870806	-1.3850418	0	1	1	3573	"tags=47%, list=16%, signal=56%"
CUL3-RING UBIQUITIN LIGASE COMPLEX	CUL3-RING UBIQUITIN LIGASE COMPLEX	34	-0.521488	-1.3842771	0.21850394	1	1	6108	"tags=50%, list=28%, signal=69%"
ASYMMETRIC SYNAPSE	ASYMMETRIC SYNAPSE	21	-0.7401388	-1.383068	0	1	1	4847	"tags=71%, list=22%, signal=92%"
STARTLE RESPONSE	STARTLE RESPONSE	19	-0.69950914	-1.3811616	0	1	1	4235	"tags=63%, list=19%, signal=78%"
INTERCALATED DISC	INTERCALATED DISC	52	-0.41023898	-1.3791689	0.18585859	1	1	1868	"tags=31%, list=9%, signal=34%"
G PROTEIN-COUPLED GLUTAMATE RECEPTOR SIGNALING PATHWAY	G PROTEIN-COUPLED GLUTAMATE RECEPTOR SIGNALING PATHWAY	15	-0.70794064	-1.3784542	0	1	1	1770	"tags=60%, list=8%, signal=65%"
"REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC"	"REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC"	26	-0.6218939	-1.3779851	0	1	1	1889	"tags=46%, list=9%, signal=50%"
CHEMICAL SYNAPTIC TRANSMISSION	CHEMICAL SYNAPTIC TRANSMISSION	161	-0.52840763	-1.3773754	0	1	1	2119	"tags=46%, list=10%, signal=51%"
CALMODULIN BINDING	CALMODULIN BINDING	178	-0.4165553	-1.377348	0	1	1	3269	"tags=39%, list=15%, signal=45%"
REGULATION OF GENE EXPRESSION BY GENETIC IMPRINTING	REGULATION OF GENE EXPRESSION BY GENETIC IMPRINTING	15	-0.42564398	-1.377138	0.09163347	1	1	4649	"tags=47%, list=21%, signal=59%"
HISTONE H4 ACETYLATION	HISTONE H4 ACETYLATION	38	-0.3405873	-1.3770378	0	1	1	4516	"tags=37%, list=21%, signal=46%"
MICROTUBULE-BASED PROCESS	MICROTUBULE-BASED PROCESS	37	-0.495488	-1.3770335	0	1	1	2152	"tags=41%, list=10%, signal=45%"
GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT	GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT	26	-0.46340147	-1.376749	0	1	1	2951	"tags=38%, list=14%, signal=44%"
REGULATION OF SYNAPTIC PLASTICITY	REGULATION OF SYNAPTIC PLASTICITY	46	-0.63120794	-1.3751827	0	1	1	2916	"tags=52%, list=13%, signal=60%"
REGULATION OF FILOPODIUM ASSEMBLY	REGULATION OF FILOPODIUM ASSEMBLY	15	-0.5351051	-1.3738426	0	1	1	3217	"tags=40%, list=15%, signal=47%"
ACTION POTENTIAL	ACTION POTENTIAL	18	-0.6564359	-1.3738338	0	1	1	3717	"tags=67%, list=17%, signal=80%"
NUCLEAR PERIPHERY	NUCLEAR PERIPHERY	16	-0.30213487	-1.3723718	0	1	1	829	"tags=13%, list=4%, signal=13%"
RESPONSE TO STARVATION	RESPONSE TO STARVATION	43	-0.28533727	-1.3722703	0	1	1	1897	"tags=26%, list=9%, signal=28%"
AXON REGENERATION	AXON REGENERATION	17	-0.42633656	-1.3720754	0	1	1	2358	"tags=35%, list=11%, signal=40%"
EXTRACELLULAR LIGAND-GATED ION CHANNEL ACTIVITY	EXTRACELLULAR LIGAND-GATED ION CHANNEL ACTIVITY	43	-0.44824076	-1.3680091	0	1	1	3763	"tags=56%, list=17%, signal=67%"
ACETYLCHOLINE-GATED CATION-SELECTIVE CHANNEL ACTIVITY	ACETYLCHOLINE-GATED CATION-SELECTIVE CHANNEL ACTIVITY	16	-0.45797306	-1.3677266	0.08747515	1	1	3763	"tags=50%, list=17%, signal=60%"
TUBULIN BINDING	TUBULIN BINDING	60	-0.5082555	-1.3657643	0	1	1	4794	"tags=52%, list=22%, signal=66%"
DENDRITE CYTOPLASM	DENDRITE CYTOPLASM	37	-0.58686405	-1.3642132	0	1	1	2864	"tags=49%, list=13%, signal=56%"
CHOLINERGIC SYNAPSE	CHOLINERGIC SYNAPSE	15	-0.68479687	-1.3638586	0	1	1	1791	"tags=60%, list=8%, signal=65%"
POTASSIUM ION TRANSPORT	POTASSIUM ION TRANSPORT	135	-0.44701138	-1.3637723	0	1	1	2376	"tags=37%, list=11%, signal=41%"
FOREBRAIN DEVELOPMENT	FOREBRAIN DEVELOPMENT	74	-0.48657498	-1.3633887	0.19762845	0.99023443	1	3609	"tags=45%, list=17%, signal=53%"
MICROTUBULE	MICROTUBULE	324	-0.33639318	-1.3633602	0	0.9807119	1	4196	"tags=35%, list=19%, signal=42%"
TERMINAL BOUTON	TERMINAL BOUTON	76	-0.520421	-1.3623161	0	0.97561985	1	2404	"tags=47%, list=11%, signal=53%"
AXON CYTOPLASM	AXON CYTOPLASM	58	-0.54682976	-1.3618209	0	0.9682917	1	4287	"tags=50%, list=20%, signal=62%"
CALCIUM CHANNEL COMPLEX	CALCIUM CHANNEL COMPLEX	19	-0.611816	-1.3616753	0	0.95894176	1	1167	"tags=42%, list=5%, signal=44%"
REGULATION OF PRESYNAPTIC CYTOSOLIC CALCIUM ION CONCENTRATION	REGULATION OF PRESYNAPTIC CYTOSOLIC CALCIUM ION CONCENTRATION	16	-0.713554	-1.3593016	0	0.96186763	1	2131	"tags=63%, list=10%, signal=69%"
PARALLEL FIBER TO PURKINJE CELL SYNAPSE	PARALLEL FIBER TO PURKINJE CELL SYNAPSE	27	-0.7580959	-1.3591472	0	0.9536966	1	2117	"tags=63%, list=10%, signal=70%"
INTRA-GOLGI VESICLE-MEDIATED TRANSPORT	INTRA-GOLGI VESICLE-MEDIATED TRANSPORT	24	-0.37618896	-1.3586329	0.103869654	0.9472711	1	4938	"tags=38%, list=23%, signal=48%"
T-TUBULE	T-TUBULE	59	-0.5029234	-1.3579879	0	0.9411893	1	2418	"tags=46%, list=11%, signal=51%"
CEREBRAL CORTEX RADIALLY ORIENTED CELL MIGRATION	CEREBRAL CORTEX RADIALLY ORIENTED CELL MIGRATION	15	-0.5755632	-1.3578223	0	0.9335883	1	2638	"tags=53%, list=12%, signal=61%"
NEUROMUSCULAR JUNCTION DEVELOPMENT	NEUROMUSCULAR JUNCTION DEVELOPMENT	38	-0.49991307	-1.3575912	0.09486166	0.9256636	1	4119	"tags=45%, list=19%, signal=55%"
LEARNING	LEARNING	62	-0.6718321	-1.3566959	0	0.9213508	1	2902	"tags=65%, list=13%, signal=74%"
REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY	REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY	46	-0.38702375	-1.353356	0	0.9272019	1	5405	"tags=48%, list=25%, signal=63%"
DENDRITIC SHAFT	DENDRITIC SHAFT	65	-0.7052345	-1.3504983	0	0.9333262	1	2721	"tags=58%, list=12%, signal=67%"
SODIUM ION TRANSMEMBRANE TRANSPORT	SODIUM ION TRANSMEMBRANE TRANSPORT	63	-0.40066847	-1.3491727	0.08494209	0.92842555	1	2355	"tags=37%, list=11%, signal=41%"
AXON GUIDANCE	AXON GUIDANCE	153	-0.6076295	-1.3483208	0	0.92787695	1	4329	"tags=61%, list=20%, signal=75%"
SYNTAXIN-1 BINDING	SYNTAXIN-1 BINDING	27	-0.6833577	-1.3477355	0	0.92149687	1	2476	"tags=67%, list=11%, signal=75%"
POSITIVE REGULATION OF PROTEIN DEPHOSPHORYLATION	POSITIVE REGULATION OF PROTEIN DEPHOSPHORYLATION	25	-0.28210577	-1.3476262	0	0.9143587	1	3217	"tags=28%, list=15%, signal=33%"
PROLINE-RICH REGION BINDING	PROLINE-RICH REGION BINDING	20	-0.49123588	-1.3462238	0.11706349	0.9149309	1	3152	"tags=40%, list=14%, signal=47%"
REGULATION OF DOPAMINE SECRETION	REGULATION OF DOPAMINE SECRETION	27	-0.67594326	-1.3457121	0	0.910304	1	5623	"tags=78%, list=26%, signal=105%"
TRICARBOXYLIC ACID CYCLE	TRICARBOXYLIC ACID CYCLE	31	-0.5252009	-1.3451864	0	0.90538037	1	3420	"tags=42%, list=16%, signal=50%"
POSITIVE REGULATION OF CREB TRANSCRIPTION FACTOR ACTIVITY	POSITIVE REGULATION OF CREB TRANSCRIPTION FACTOR ACTIVITY	16	-0.53651565	-1.3439827	0.102970295	0.9011664	1	3414	"tags=50%, list=16%, signal=59%"
SIALYLTRANSFERASE ACTIVITY	SIALYLTRANSFERASE ACTIVITY	20	-0.6818862	-1.343347	0	0.895096	1	2390	"tags=60%, list=11%, signal=67%"
KINESIN BINDING	KINESIN BINDING	47	-0.540283	-1.342943	0	0.8905626	1	2414	"tags=49%, list=11%, signal=55%"
REGULATION OF SYNAPTIC VESICLE ENDOCYTOSIS	REGULATION OF SYNAPTIC VESICLE ENDOCYTOSIS	15	-0.7127317	-1.3420523	0	0.8888463	1	1970	"tags=53%, list=9%, signal=59%"
SYNAPTIC VESICLE EXOCYTOSIS	SYNAPTIC VESICLE EXOCYTOSIS	26	-0.69341165	-1.3417466	0	0.8842054	1	1946	"tags=65%, list=9%, signal=72%"
LEARNING OR MEMORY	LEARNING OR MEMORY	62	-0.5158715	-1.341451	0	0.87993634	1	3230	"tags=53%, list=15%, signal=62%"
MITOGEN-ACTIVATED PROTEIN KINASE KINASE BINDING	MITOGEN-ACTIVATED PROTEIN KINASE KINASE BINDING	16	-0.44396728	-1.3413875	0.08445297	0.8733715	1	2348	"tags=38%, list=11%, signal=42%"
SOLUTE:PROTON ANTIPORTER ACTIVITY	SOLUTE:PROTON ANTIPORTER ACTIVITY	16	-0.449531	-1.3408641	0	0.8689514	1	3273	"tags=38%, list=15%, signal=44%"
CEREBRAL CORTEX DEVELOPMENT	CEREBRAL CORTEX DEVELOPMENT	76	-0.5233235	-1.3401792	0	0.86617196	1	3900	"tags=47%, list=18%, signal=57%"
NEURONAL CELL BODY MEMBRANE	NEURONAL CELL BODY MEMBRANE	32	-0.516904	-1.3399549	0	0.8613677	1	4565	"tags=69%, list=21%, signal=87%"
MAGNESIUM ION TRANSPORT	MAGNESIUM ION TRANSPORT	15	-0.29725814	-1.3398587	0	0.85539544	1	5307	"tags=40%, list=24%, signal=53%"
NEURON MIGRATION	NEURON MIGRATION	119	-0.56045055	-1.3396876	0	0.84949315	1	3611	"tags=50%, list=17%, signal=59%"
PROTEIN N-LINKED GLYCOSYLATION	PROTEIN N-LINKED GLYCOSYLATION	41	-0.34580198	-1.3394806	0.11811024	0.8451464	1	4401	"tags=34%, list=20%, signal=43%"
CALCIUM ION IMPORT	CALCIUM ION IMPORT	22	-0.56493765	-1.3392448	0	0.8392129	1	3573	"tags=64%, list=16%, signal=76%"
POSITIVE REGULATION OF LONG-TERM SYNAPTIC POTENTIATION	POSITIVE REGULATION OF LONG-TERM SYNAPTIC POTENTIATION	25	-0.60176677	-1.3389416	0	0.83381194	1	3388	"tags=60%, list=16%, signal=71%"
FEEDING BEHAVIOR	FEEDING BEHAVIOR	32	-0.49238035	-1.3385274	0.17791411	0.8284027	1	3191	"tags=47%, list=15%, signal=55%"
FILOPODIUM TIP	FILOPODIUM TIP	17	-0.47790974	-1.3383385	0.0990099	0.8228033	1	3594	"tags=47%, list=16%, signal=56%"
SPINAL CORD DEVELOPMENT	SPINAL CORD DEVELOPMENT	35	-0.41752312	-1.3380175	0.09448819	0.8178619	1	4838	"tags=51%, list=22%, signal=66%"
STEROL BIOSYNTHETIC PROCESS	STEROL BIOSYNTHETIC PROCESS	29	-0.5224747	-1.3374611	0.20507812	0.8149774	1	2182	"tags=52%, list=10%, signal=57%"
BRAIN MORPHOGENESIS	BRAIN MORPHOGENESIS	22	-0.63684154	-1.3370743	0	0.8108621	1	4899	"tags=64%, list=22%, signal=82%"
NEGATIVE CHEMOTAXIS	NEGATIVE CHEMOTAXIS	39	-0.66928566	-1.3368026	0	0.80599993	1	3741	"tags=64%, list=17%, signal=77%"
OLIGODENDROCYTE DIFFERENTIATION	OLIGODENDROCYTE DIFFERENTIATION	38	-0.42457205	-1.3367283	0.08888889	0.80070275	1	3900	"tags=42%, list=18%, signal=51%"
NEURON PROJECTION TERMINUS	NEURON PROJECTION TERMINUS	22	-0.6091217	-1.3360865	0	0.7969428	1	2126	"tags=50%, list=10%, signal=55%"
NOTCH BINDING	NOTCH BINDING	22	-0.3173321	-1.3356804	0.2851485	0.79304993	1	881	"tags=18%, list=4%, signal=19%"
TRANSMITTER-GATED ION CHANNEL ACTIVITY INVOLVED IN REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL	TRANSMITTER-GATED ION CHANNEL ACTIVITY INVOLVED IN REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL	45	-0.5718181	-1.3353944	0	0.7893965	1	2326	"tags=60%, list=11%, signal=67%"
HOMOPHILIC CELL ADHESION VIA PLASMA MEMBRANE ADHESION MOLECULES	HOMOPHILIC CELL ADHESION VIA PLASMA MEMBRANE ADHESION MOLECULES	158	-0.61428076	-1.3350688	0	0.7848983	1	1975	"tags=53%, list=9%, signal=57%"
DIGESTIVE TRACT MORPHOGENESIS	DIGESTIVE TRACT MORPHOGENESIS	16	-0.5658329	-1.3347174	0.2804642	0.7814181	1	2025	"tags=25%, list=9%, signal=28%"
"RETROGRADE TRANSPORT, ENDOSOME TO GOLGI"	"RETROGRADE TRANSPORT, ENDOSOME TO GOLGI"	72	-0.30763128	-1.3319072	0	0.7886547	1	5619	"tags=38%, list=26%, signal=50%"
POSITIVE REGULATION OF DENDRITE EXTENSION	POSITIVE REGULATION OF DENDRITE EXTENSION	27	-0.7155768	-1.3318946	0	0.78372896	1	4587	"tags=70%, list=21%, signal=89%"
REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS	REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS	65	-0.64017624	-1.3307356	0	0.7817323	1	3872	"tags=60%, list=18%, signal=73%"
ASSOCIATIVE LEARNING	ASSOCIATIVE LEARNING	39	-0.4760035	-1.3307003	0	0.77713287	1	3173	"tags=49%, list=15%, signal=57%"
VOLTAGE-GATED POTASSIUM CHANNEL COMPLEX	VOLTAGE-GATED POTASSIUM CHANNEL COMPLEX	72	-0.6196351	-1.3298985	0	0.7738837	1	4116	"tags=72%, list=19%, signal=89%"
AXON TERMINUS	AXON TERMINUS	81	-0.52833813	-1.3285921	0	0.7770314	1	3852	"tags=49%, list=18%, signal=60%"
CAMERA-TYPE EYE MORPHOGENESIS	CAMERA-TYPE EYE MORPHOGENESIS	24	-0.52676964	-1.3284461	0.28402367	0.7721324	1	4968	"tags=50%, list=23%, signal=65%"
VOLTAGE-GATED ION CHANNEL ACTIVITY	VOLTAGE-GATED ION CHANNEL ACTIVITY	134	-0.47936296	-1.3283042	0	0.7676068	1	2875	"tags=48%, list=13%, signal=55%"
DENTATE GYRUS DEVELOPMENT	DENTATE GYRUS DEVELOPMENT	18	-0.4999621	-1.328086	0.0990099	0.7636212	1	1087	"tags=39%, list=5%, signal=41%"
REGULATION OF ION TRANSMEMBRANE TRANSPORT	REGULATION OF ION TRANSMEMBRANE TRANSPORT	136	-0.47578993	-1.3280274	0	0.7591454	1	2864	"tags=48%, list=13%, signal=55%"
