NAME	GS<br> follow link to MSigDB	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
PHAGOCYTIC VESICLE	PHAGOCYTIC VESICLE	72	0.5024873	2.0491395	0	0.05386269	0.106	1439	"tags=21%, list=7%, signal=22%"
REGULATION OF PROTEIN PHOSPHORYLATION	REGULATION OF PROTEIN PHOSPHORYLATION	69	0.4018563	2.0476046	0	0.053798456	0.106	715	"tags=13%, list=3%, signal=13%"
CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY	CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY	64	0.55988294	2.042687	0	0.05547691	0.106	2614	"tags=31%, list=12%, signal=35%"
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS	CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS	22	0.6206175	2.0404985	0	0.05536474	0.106	3262	"tags=50%, list=15%, signal=59%"
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CELL SURFACE	POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CELL SURFACE	20	0.5413145	2.039437	0	0.055259604	0.106	1032	"tags=25%, list=5%, signal=26%"
RNA POLYMERASE II CORE PROMOTER SEQUENCE-SPECIFIC DNA BINDING	RNA POLYMERASE II CORE PROMOTER SEQUENCE-SPECIFIC DNA BINDING	35	0.4880818	2.0249631	0	0.062483765	0.25	3274	"tags=26%, list=15%, signal=30%"
POSITIVE REGULATION OF MYOBLAST FUSION	POSITIVE REGULATION OF MYOBLAST FUSION	22	0.66601586	2.021618	0	0.062175438	0.25	2575	"tags=45%, list=12%, signal=51%"
RESPONSE TO TUMOR NECROSIS FACTOR	RESPONSE TO TUMOR NECROSIS FACTOR	31	0.7352359	2.0093198	0	0.063374855	0.25	1891	"tags=45%, list=9%, signal=49%"
CORTICAL ACTIN CYTOSKELETON ORGANIZATION	CORTICAL ACTIN CYTOSKELETON ORGANIZATION	26	0.5672447	2.0051775	0	0.06305892	0.25	3850	"tags=38%, list=18%, signal=47%"
NATURAL KILLER CELL DIFFERENTIATION	NATURAL KILLER CELL DIFFERENTIATION	16	0.60344076	2.0047932	0	0.062760025	0.25	1484	"tags=38%, list=7%, signal=40%"
CYSTEINE-TYPE PEPTIDASE ACTIVITY	CYSTEINE-TYPE PEPTIDASE ACTIVITY	126	0.39449266	2.003215	0	0.062476866	0.25	3993	"tags=21%, list=18%, signal=26%"
CELLULAR RESPONSE TO THYROID HORMONE STIMULUS	CELLULAR RESPONSE TO THYROID HORMONE STIMULUS	15	0.5534682	2.0023649	0	0.064256355	0.3	3465	"tags=40%, list=16%, signal=48%"
FAT CELL DIFFERENTIATION	FAT CELL DIFFERENTIATION	77	0.36408418	2.0001037	0	0.06600158	0.3	3376	"tags=21%, list=15%, signal=24%"
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS	POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS	54	0.56045663	1.9929284	0	0.06566009	0.3	2942	"tags=33%, list=13%, signal=38%"
"PHAGOCYTOSIS, ENGULFMENT"	"PHAGOCYTOSIS, ENGULFMENT"	22	0.69784534	1.9929254	0	0.065334834	0.3	1307	"tags=41%, list=6%, signal=43%"
GTP BINDING	GTP BINDING	359	0.41412288	1.9886312	0	0.068929106	0.3	2065	"tags=19%, list=9%, signal=20%"
PHAGOCYTOSIS	PHAGOCYTOSIS	60	0.5657978	1.98615	0	0.06854436	0.3	3737	"tags=43%, list=17%, signal=52%"
POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION	POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION	27	0.7855896	1.9815416	0	0.068176694	0.3	504	"tags=33%, list=2%, signal=34%"
CELLULAR RESPONSE TO OXIDATIVE STRESS	CELLULAR RESPONSE TO OXIDATIVE STRESS	72	0.39376712	1.9666142	0	0.068910815	0.348	2066	"tags=17%, list=9%, signal=18%"
REGULATION OF STRESS FIBER ASSEMBLY	REGULATION OF STRESS FIBER ASSEMBLY	15	0.4947651	1.9613849	0	0.07140656	0.348	838	"tags=20%, list=4%, signal=21%"
PROTEIN KINASE B SIGNALING	PROTEIN KINASE B SIGNALING	39	0.53644705	1.9595735	0	0.07208887	0.348	2989	"tags=41%, list=14%, signal=47%"
NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	19	0.53434217	1.9592907	0	0.07167892	0.348	2145	"tags=21%, list=10%, signal=23%"
POSITIVE REGULATION OF T CELL CHEMOTAXIS	POSITIVE REGULATION OF T CELL CHEMOTAXIS	16	0.631932	1.9573461	0	0.07128535	0.348	4559	"tags=44%, list=21%, signal=55%"
POSITIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY	POSITIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY	124	0.6250844	1.9557877	0	0.07251642	0.348	3527	"tags=44%, list=16%, signal=53%"
CELLULAR RESPONSE TO AMINO ACID STARVATION	CELLULAR RESPONSE TO AMINO ACID STARVATION	43	0.4124154	1.954389	0	0.072949804	0.391	1776	"tags=16%, list=8%, signal=18%"
PROTEIN HOMOTRIMERIZATION	PROTEIN HOMOTRIMERIZATION	26	0.6245905	1.9532686	0	0.07255451	0.391	2347	"tags=35%, list=11%, signal=39%"
PHOSPHATIDYLINOSITOL PHOSPHOLIPASE C ACTIVITY	PHOSPHATIDYLINOSITOL PHOSPHOLIPASE C ACTIVITY	18	0.572807	1.952722	0	0.072173886	0.391	1306	"tags=28%, list=6%, signal=30%"
POSITIVE REGULATION OF TRANSLATION	POSITIVE REGULATION OF TRANSLATION	78	0.32671493	1.9516073	0	0.071807064	0.391	3117	"tags=14%, list=14%, signal=16%"
IMMUNOLOGICAL SYNAPSE	IMMUNOLOGICAL SYNAPSE	37	0.64907175	1.9413452	0	0.07238476	0.391	2765	"tags=41%, list=13%, signal=46%"
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR"	"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR"	16	0.58025557	1.9396882	0	0.07202711	0.391	4003	"tags=38%, list=18%, signal=46%"
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS	ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS	78	0.60380894	1.9344928	0	0.0740812	0.441	2942	"tags=41%, list=13%, signal=47%"
MRNA STABILIZATION	MRNA STABILIZATION	24	0.5577752	1.9335636	0	0.073706895	0.441	3054	"tags=33%, list=14%, signal=39%"
3'-5'-EXORIBONUCLEASE ACTIVITY	3'-5'-EXORIBONUCLEASE ACTIVITY	24	0.4594308	1.9283324	0	0.074214354	0.441	813	"tags=8%, list=4%, signal=9%"
GTPASE ACTIVITY	GTPASE ACTIVITY	282	0.42947918	1.9280777	0	0.07385014	0.441	2065	"tags=19%, list=9%, signal=21%"
POSITIVE REGULATION OF APOPTOTIC PROCESS	POSITIVE REGULATION OF APOPTOTIC PROCESS	344	0.4141635	1.9271462	0	0.07349774	0.441	3992	"tags=28%, list=18%, signal=34%"
POSITIVE REGULATION OF BONE RESORPTION	POSITIVE REGULATION OF BONE RESORPTION	23	0.60459316	1.9221432	0	0.07315646	0.441	1993	"tags=30%, list=9%, signal=33%"
RESPONSE TO HEAT	RESPONSE TO HEAT	56	0.42789915	1.9189171	0	0.07364084	0.441	4005	"tags=29%, list=18%, signal=35%"
SINGLE-STRANDED RNA BINDING	SINGLE-STRANDED RNA BINDING	46	0.4740659	1.917719	0	0.07330795	0.441	199	"tags=11%, list=1%, signal=11%"
P-BODY	P-BODY	75	0.38430053	1.9153001	0	0.07298506	0.441	3084	"tags=19%, list=14%, signal=22%"
NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION	NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION	26	0.5990433	1.9094217	0	0.07577623	0.441	1987	"tags=31%, list=9%, signal=34%"
ACTIVATION OF MAPKK ACTIVITY	ACTIVATION OF MAPKK ACTIVITY	40	0.39833778	1.9085548	0	0.07542653	0.441	3060	"tags=20%, list=14%, signal=23%"
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION	POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION	91	0.41892794	1.9020913	0	0.0770866	0.441	1571	"tags=16%, list=7%, signal=18%"
CYTOPLASMIC STRESS GRANULE	CYTOPLASMIC STRESS GRANULE	67	0.35923448	1.8998479	0	0.07672817	0.441	448	"tags=7%, list=2%, signal=8%"
POSITIVE REGULATION OF RECEPTOR INTERNALIZATION	POSITIVE REGULATION OF RECEPTOR INTERNALIZATION	25	0.43558815	1.8976239	0	0.07637993	0.441	2714	"tags=28%, list=12%, signal=32%"
ENZYME BINDING	ENZYME BINDING	415	0.28815904	1.8961228	0	0.07749001	0.441	5139	"tags=25%, list=24%, signal=32%"
NEGATIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS	NEGATIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS	18	0.5740832	1.8958908	0	0.07714089	0.441	3352	"tags=33%, list=15%, signal=39%"
LIPOPOLYSACCHARIDE BINDING	LIPOPOLYSACCHARIDE BINDING	25	0.7883088	1.8952699	0	0.07680109	0.441	1953	"tags=52%, list=9%, signal=57%"
NON-MEMBRANE SPANNING PROTEIN TYROSINE KINASE ACTIVITY	NON-MEMBRANE SPANNING PROTEIN TYROSINE KINASE ACTIVITY	44	0.60442114	1.893297	0	0.07647045	0.441	1993	"tags=34%, list=9%, signal=37%"
ANTIGEN PROCESSING AND PRESENTATION	ANTIGEN PROCESSING AND PRESENTATION	32	0.67919207	1.8929988	0	0.07683467	0.441	2435	"tags=53%, list=11%, signal=60%"
ACTIVATION OF NF-KAPPAB-INDUCING KINASE ACTIVITY	ACTIVATION OF NF-KAPPAB-INDUCING KINASE ACTIVITY	16	0.73192143	1.8902146	0	0.07874142	0.441	2347	"tags=44%, list=11%, signal=49%"
AUTOPHAGY	AUTOPHAGY	168	0.33721206	1.8900417	0	0.07839852	0.441	2280	"tags=13%, list=10%, signal=15%"
NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY	NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY	26	0.46503156	1.8879879	0	0.08014194	0.441	3755	"tags=38%, list=17%, signal=46%"
RUFFLE	RUFFLE	104	0.45727423	1.8874457	0	0.07979013	0.441	4623	"tags=37%, list=21%, signal=46%"
NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY	NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY	15	0.6904486	1.8869879	0	0.07944711	0.441	2580	"tags=40%, list=12%, signal=45%"
REGULATION OF APOPTOTIC PROCESS	REGULATION OF APOPTOTIC PROCESS	188	0.4854423	1.8867586	0	0.079112336	0.441	3912	"tags=32%, list=18%, signal=39%"
RESPONSE TO WOUNDING	RESPONSE TO WOUNDING	67	0.42085582	1.8860996	0	0.078785725	0.441	2679	"tags=24%, list=12%, signal=27%"
POSITIVE REGULATION OF PHAGOCYTOSIS	POSITIVE REGULATION OF PHAGOCYTOSIS	50	0.65793884	1.8770901	0	0.08146494	0.441	2026	"tags=44%, list=9%, signal=48%"
METABOLIC PROCESS	METABOLIC PROCESS	169	0.3418053	1.8770616	0	0.08111833	0.441	4268	"tags=25%, list=20%, signal=31%"
NEGATIVE REGULATION OF LIPID CATABOLIC PROCESS	NEGATIVE REGULATION OF LIPID CATABOLIC PROCESS	16	0.65867954	1.8769056	0	0.0807797	0.441	3033	"tags=44%, list=14%, signal=51%"
POSITIVE REGULATION OF PROTEIN KINASE B SIGNALING	POSITIVE REGULATION OF PROTEIN KINASE B SIGNALING	100	0.46161565	1.8759626	0	0.08044894	0.441	3612	"tags=30%, list=17%, signal=36%"
RAS PROTEIN SIGNAL TRANSDUCTION	RAS PROTEIN SIGNAL TRANSDUCTION	50	0.391554	1.8725115	0	0.080125615	0.441	1961	"tags=18%, list=9%, signal=20%"
CELLULAR RESPONSE TO HORMONE STIMULUS	CELLULAR RESPONSE TO HORMONE STIMULUS	47	0.43622378	1.8724719	0	0.07980965	0.441	2267	"tags=23%, list=10%, signal=26%"
POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION	POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION	26	0.43748948	1.8717239	0	0.0795006	0.441	3285	"tags=27%, list=15%, signal=32%"
POSITIVE REGULATION OF T CELL MIGRATION	POSITIVE REGULATION OF T CELL MIGRATION	19	0.73543257	1.8703973	0	0.07977154	0.441	3111	"tags=58%, list=14%, signal=67%"
POSITIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING	POSITIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING	16	0.57103735	1.8703545	0	0.07946966	0.441	4207	"tags=38%, list=19%, signal=46%"
PHAGOCYTIC CUP	PHAGOCYTIC CUP	26	0.64558804	1.8701563	0	0.07917432	0.441	2602	"tags=42%, list=12%, signal=48%"
HOMEOSTASIS OF NUMBER OF CELLS WITHIN A TISSUE	HOMEOSTASIS OF NUMBER OF CELLS WITHIN A TISSUE	36	0.527076	1.8696836	0	0.07888517	0.441	1515	"tags=25%, list=7%, signal=27%"
REACTIVE OXYGEN SPECIES METABOLIC PROCESS	REACTIVE OXYGEN SPECIES METABOLIC PROCESS	31	0.5614449	1.8674455	0	0.08005454	0.441	1320	"tags=19%, list=6%, signal=21%"
NEGATIVE REGULATION OF CELL GROWTH	NEGATIVE REGULATION OF CELL GROWTH	122	0.43919098	1.8668492	0	0.07976234	0.441	4370	"tags=33%, list=20%, signal=41%"
CELLULAR RESPONSE TO EXOGENOUS DSRNA	CELLULAR RESPONSE TO EXOGENOUS DSRNA	19	0.8590562	1.8633275	0	0.0808372	0.441	1192	"tags=47%, list=5%, signal=50%"
PERINUCLEAR ENDOPLASMIC RETICULUM	PERINUCLEAR ENDOPLASMIC RETICULUM	18	0.47450757	1.8623794	0	0.08129573	0.441	274	"tags=11%, list=1%, signal=11%"
POSITIVE REGULATION OF T CELL DIFFERENTIATION	POSITIVE REGULATION OF T CELL DIFFERENTIATION	23	0.7213446	1.8617779	0	0.08099983	0.441	1921	"tags=43%, list=9%, signal=48%"
NEGATIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS	NEGATIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS	17	0.49741387	1.8614074	0	0.08070985	0.441	4108	"tags=35%, list=19%, signal=43%"
RESPONSE TO ATP	RESPONSE TO ATP	22	0.5092527	1.8607229	0	0.08042554	0.441	1731	"tags=27%, list=8%, signal=30%"
REGULATION OF INFLAMMATORY RESPONSE	REGULATION OF INFLAMMATORY RESPONSE	71	0.64729196	1.8604691	0	0.08014687	0.441	3865	"tags=48%, list=18%, signal=58%"
B CELL ACTIVATION	B CELL ACTIVATION	25	0.68884283	1.8549623	0	0.08194254	0.49	2282	"tags=52%, list=10%, signal=58%"
RESPONSE TO LIPOPOLYSACCHARIDE	RESPONSE TO LIPOPOLYSACCHARIDE	180	0.57978725	1.8508759	0	0.08265755	0.49	2363	"tags=32%, list=11%, signal=36%"
RNA CATABOLIC PROCESS	RNA CATABOLIC PROCESS	20	0.6522207	1.8496664	0	0.08236552	0.49	2117	"tags=25%, list=10%, signal=28%"
CELLULAR OXIDANT DETOXIFICATION	CELLULAR OXIDANT DETOXIFICATION	74	0.53726417	1.8473654	0	0.0825711	0.49	2871	"tags=30%, list=13%, signal=34%"
ACETYLCHOLINE RECEPTOR BINDING	ACETYLCHOLINE RECEPTOR BINDING	20	0.58184266	1.8465693	0	0.08228541	0.49	750	"tags=25%, list=3%, signal=26%"
PHOSPHATIDYLINOSITOL-3-PHOSPHATE BINDING	PHOSPHATIDYLINOSITOL-3-PHOSPHATE BINDING	39	0.41191107	1.8446887	0	0.08200501	0.49	2108	"tags=18%, list=10%, signal=20%"
T CELL RECEPTOR SIGNALING PATHWAY	T CELL RECEPTOR SIGNALING PATHWAY	83	0.59386265	1.8435992	0	0.081729665	0.49	2232	"tags=33%, list=10%, signal=36%"
PROTEIN AUTOUBIQUITINATION	PROTEIN AUTOUBIQUITINATION	69	0.3787098	1.8435726	0	0.0814594	0.49	2411	"tags=14%, list=11%, signal=16%"
NEGATIVE REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION	NEGATIVE REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION	19	0.47658893	1.8415482	0	0.081194036	0.49	2699	"tags=37%, list=12%, signal=42%"
VIRAL PROCESS	VIRAL PROCESS	30	0.62334013	1.8402432	0	0.081399076	0.49	3542	"tags=33%, list=16%, signal=40%"
RESPONSE TO TOXIC SUBSTANCE	RESPONSE TO TOXIC SUBSTANCE	96	0.41732168	1.8391572	0	0.08113886	0.49	4081	"tags=30%, list=19%, signal=37%"
ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS	ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS	16	0.39260742	1.8357207	0	0.081798285	0.49	1647	"tags=13%, list=8%, signal=14%"
RESPONSE TO COLD	RESPONSE TO COLD	40	0.41829413	1.8356136	0	0.0815392	0.49	3254	"tags=25%, list=15%, signal=29%"
CATALYTIC ACTIVITY	CATALYTIC ACTIVITY	475	0.29160288	1.8250192	0	0.083745934	0.49	4268	"tags=22%, list=20%, signal=26%"
POSITIVE REGULATION OF COLD-INDUCED THERMOGENESIS	POSITIVE REGULATION OF COLD-INDUCED THERMOGENESIS	85	0.45325035	1.8244497	0	0.08347455	0.49	4431	"tags=33%, list=20%, signal=41%"
MUSCLE CELL CELLULAR HOMEOSTASIS	MUSCLE CELL CELLULAR HOMEOSTASIS	20	0.5598906	1.8243772	0	0.083207816	0.49	2222	"tags=30%, list=10%, signal=33%"
RESPONSE TO CYTOKINE	RESPONSE TO CYTOKINE	76	0.66406596	1.820644	0	0.0833839	0.49	2371	"tags=39%, list=11%, signal=44%"
NEGATIVE REGULATION OF T CELL PROLIFERATION	NEGATIVE REGULATION OF T CELL PROLIFERATION	42	0.6975572	1.8195668	0	0.08312237	0.49	2274	"tags=45%, list=10%, signal=50%"
EXTRINSIC COMPONENT OF PLASMA MEMBRANE	EXTRINSIC COMPONENT OF PLASMA MEMBRANE	28	0.50151646	1.818836	0	0.08286511	0.49	3357	"tags=32%, list=15%, signal=38%"
PROTEIN HETERODIMERIZATION ACTIVITY	PROTEIN HETERODIMERIZATION ACTIVITY	321	0.32664976	1.8184029	0	0.08328468	0.49	4820	"tags=26%, list=22%, signal=33%"
APOPTOTIC CELL CLEARANCE	APOPTOTIC CELL CLEARANCE	21	0.6073479	1.817717	0	0.08303039	0.49	2057	"tags=38%, list=9%, signal=42%"
POSITIVE REGULATION OF CELL DEATH	POSITIVE REGULATION OF CELL DEATH	57	0.49863255	1.8177143	0	0.08278014	0.49	3499	"tags=35%, list=16%, signal=42%"
POSITIVE REGULATION OF T CELL ACTIVATION	POSITIVE REGULATION OF T CELL ACTIVATION	21	0.7449336	1.8162061	0	0.082533844	0.49	2232	"tags=52%, list=10%, signal=58%"
RESPONSE TO ORGANIC CYCLIC COMPOUND	RESPONSE TO ORGANIC CYCLIC COMPOUND	144	0.41019234	1.811106	0	0.084946536	0.49	4942	"tags=38%, list=23%, signal=49%"
POSITIVE REGULATION OF CELL ADHESION	POSITIVE REGULATION OF CELL ADHESION	59	0.5298377	1.810023	0	0.08509786	0.49	4108	"tags=36%, list=19%, signal=44%"
POSITIVE REGULATION OF NIK/NF-KAPPAB SIGNALING	POSITIVE REGULATION OF NIK/NF-KAPPAB SIGNALING	60	0.54928815	1.8090761	0	0.08524673	0.49	1115	"tags=25%, list=5%, signal=26%"
NUCLEAR MEMBRANE	NUCLEAR MEMBRANE	233	0.26115125	1.8075184	0	0.08602957	0.49	6660	"tags=30%, list=31%, signal=42%"
T CELL HOMEOSTASIS	T CELL HOMEOSTASIS	30	0.60080147	1.8061082	0	0.08576787	0.49	2397	"tags=37%, list=11%, signal=41%"
CELLULAR RESPONSE TO HEPATOCYTE GROWTH FACTOR STIMULUS	CELLULAR RESPONSE TO HEPATOCYTE GROWTH FACTOR STIMULUS	18	0.4928214	1.8048398	0	0.08590823	0.49	1108	"tags=17%, list=5%, signal=18%"
PEPTIDE BINDING	PEPTIDE BINDING	96	0.37773758	1.8039429	0	0.0856513	0.49	2389	"tags=20%, list=11%, signal=22%"
ADP BINDING	ADP BINDING	39	0.36445996	1.8030443	0	0.085398264	0.49	1608	"tags=10%, list=7%, signal=11%"
ATPASE-COUPLED INTRAMEMBRANE LIPID TRANSPORTER ACTIVITY	ATPASE-COUPLED INTRAMEMBRANE LIPID TRANSPORTER ACTIVITY	19	0.57184803	1.7975115	0	0.08681936	0.49	1307	"tags=32%, list=6%, signal=34%"
POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING	POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING	124	0.66405225	1.7974982	0	0.08656143	0.49	3549	"tags=46%, list=16%, signal=55%"
REGULATION OF PROTEIN COMPLEX ASSEMBLY	REGULATION OF PROTEIN COMPLEX ASSEMBLY	20	0.4902696	1.7961284	0	0.08754175	0.49	4611	"tags=35%, list=21%, signal=44%"
